Variants segregating between each pair of groups
Group	Acutifolius	Vulgaris
Acutifolius	0	9094
Vulgaris	9094	0

Variants with not enough individuals genotyped or with high MAF within each group
Group	Acutifolius	Vulgaris
Not genotyped	0	0
Heterozygous	0	0

Regions assigned to each group for each sample
Sample	Sample group	Acutifolius	Vulgaris	Non genotyped	Unassigned	More than one group
G40056	Acutifolius	177	0	0	0	0
G40287	Acutifolius	177	0	0	0	0
GCDT_002	Vulgaris	12	155	7	3	0
GCDT_003	Vulgaris	0	177	0	0	0
GCDT_004	Vulgaris	0	176	0	1	0
GCDT_005	Vulgaris	4	169	2	2	0
GCDT_006	Vulgaris	0	171	0	6	0
GCDT_007	Vulgaris	1	175	0	1	0
GCDT_008	Vulgaris	0	176	0	1	0
GCDT_009	Vulgaris	5	114	57	1	0
GCDT_010	Vulgaris	0	176	1	0	0
GCDT_011	Vulgaris	0	176	0	1	0
GCDT_012	Vulgaris	4	169	0	4	0
GCDT_013	Vulgaris	0	177	0	0	0
GCDT_014	Vulgaris	3	172	0	2	0
GCDT_015	Vulgaris	0	177	0	0	0
GCDT_016	Vulgaris	0	175	0	2	0
GCDT_017	Vulgaris	0	176	0	1	0
GCDT_018	Vulgaris	0	173	4	0	0
GCDT_019	Vulgaris	0	177	0	0	0
GCDT_020	Vulgaris	0	106	71	0	0
GCDT_021	Vulgaris	0	177	0	0	0
GCDT_022	Vulgaris	0	175	0	2	0
GCDT_023	Vulgaris	0	176	0	1	0
GCDT_024	Vulgaris	0	168	1	8	0
GCDT_025	Vulgaris	7	159	0	11	0
GCDT_026	Vulgaris	0	1	176	0	0
GCDT_029	Vulgaris	0	173	0	4	0
GCDT_030	Vulgaris	0	177	0	0	0
GCDT_031	Vulgaris	0	175	0	2	0
GCDT_032	Vulgaris	0	174	0	3	0
GCDT_033	Vulgaris	0	1	176	0	0
GCDT_034	Vulgaris	0	174	1	2	0
GCDT_037	Vulgaris	0	162	0	15	0
GCDT_038	Vulgaris	0	176	0	1	0
GCDT_039	Vulgaris	0	176	0	1	0
GCDT_040	Vulgaris	0	167	4	6	0
GCDT_041	Vulgaris	0	176	1	0	0
GCDT_043	Vulgaris	0	175	0	2	0
GCDT_044	Vulgaris	0	174	0	3	0
GCDT_045	Vulgaris	0	61	115	1	0
GCDT_046	Vulgaris	10	166	0	1	0
GCDT_047	Vulgaris	4	159	2	12	0
GCDT_048	Vulgaris	8	147	21	1	0
GCDT_049	Vulgaris	0	158	17	2	0
GCDT_050	Vulgaris	0	177	0	0	0
GCDT_051	Vulgaris	0	30	147	0	0
GCDT_052	Vulgaris	0	174	0	3	0
GCDT_053	Vulgaris	3	167	1	6	0
GCDT_054	Vulgaris	0	161	14	2	0
GCDT_055	Vulgaris	46	128	0	3	0
GCDT_056	Vulgaris	0	132	2	43	0
GCDT_057	Vulgaris	40	128	7	2	0
GCDT_058	Vulgaris	42	132	0	3	0
GCDT_059	Vulgaris	42	133	0	2	0
GCDT_060	Vulgaris	42	132	1	2	0
GCDT_061	Vulgaris	43	133	0	1	0
GCDT_062	Vulgaris	42	134	0	1	0
GCDT_063	Vulgaris	0	8	169	0	0
GCDT_064	Vulgaris	0	167	0	10	0
GCDT_065	Vulgaris	36	123	0	18	0
GCDT_066	Vulgaris	0	175	0	2	0
GCDT_067	Vulgaris	0	177	0	0	0
GCDT_070	Vulgaris	0	176	0	1	0
GCDT_071	Vulgaris	0	177	0	0	0
GCDT_072	Vulgaris	3	173	0	1	0
GCDT_073	Vulgaris	3	169	4	1	0
GCDT_074	Vulgaris	0	176	0	1	0
GCDT_075	Vulgaris	1	161	14	1	0
GCDT_077	Vulgaris	0	159	18	0	0
GCDT_079	Vulgaris	1	101	74	1	0
GCDT_081	Vulgaris	0	168	8	1	0
GCDT_082	Vulgaris	2	164	9	2	0
GCDT_083	Vulgaris	3	171	0	3	0
GCDT_084	Vulgaris	3	169	3	2	0
GCDT_085	Vulgaris	0	174	0	3	0
GCDT_086	Vulgaris	0	176	0	1	0
GCDT_087	Vulgaris	0	175	0	2	0
GCDT_089	Vulgaris	0	175	0	2	0
GCDT_090	Vulgaris	0	175	0	2	0
GCDT_091	Vulgaris	0	137	40	0	0
GCDT_092	Vulgaris	0	175	0	2	0
GCDT_093	Vulgaris	3	170	0	4	0
GCDT_094	Vulgaris	0	1	176	0	0
GCDT_095	Vulgaris	0	152	24	1	0
GCDT_096	Vulgaris	0	174	0	3	0
GCDT_097	Vulgaris	0	175	0	2	0
GCDT_100	Vulgaris	1	17	158	1	0
GCDT_101	Vulgaris	31	130	0	16	0
GCDT_102	Vulgaris	12	161	0	4	0
GCDT_103	Vulgaris	12	161	0	4	0
GCDT_104	Vulgaris	0	167	8	2	0
GCDT_105	Vulgaris	12	160	0	5	0
GCDT_106	Vulgaris	0	34	143	0	0
GCDT_109	Vulgaris	23	151	1	2	0
GCDT_110	Vulgaris	0	175	0	2	0
GCDT_111	Vulgaris	0	174	1	2	0
GCDT_112	Vulgaris	0	171	6	0	0
GCDT_113	Vulgaris	16	149	10	2	0
GCDT_114	Vulgaris	0	167	0	10	0
GCDT_117	Vulgaris	0	173	0	4	0
GCDT_118	Vulgaris	0	139	29	9	0
GCDT_119	Vulgaris	0	167	6	4	0
GCDT_121	Vulgaris	0	161	12	4	0
GCDT_124	Vulgaris	0	174	0	3	0
GCDT_125	Vulgaris	0	157	18	2	0
GCDT_126	Vulgaris	0	174	2	1	0
GCDT_127	Vulgaris	0	166	4	7	0
GCDT_128	Vulgaris	0	169	3	5	0
GCDT_129	Vulgaris	0	20	157	0	0
GCDT_130	Vulgaris	1	170	0	6	0
GCDT_132	Vulgaris	0	173	0	4	0
GCDT_133	Vulgaris	0	170	4	3	0
GCDT_134	Vulgaris	0	79	97	1	0
GCDT_135	Vulgaris	0	161	9	7	0
GCDT_136	Vulgaris	0	109	68	0	0
GCDT_137	Vulgaris	6	170	0	1	0
GCDT_138	Vulgaris	1	174	0	2	0
GCDT_139	Vulgaris	0	173	0	4	0
GCDT_140	Vulgaris	0	173	0	4	0
GCDT_141	Vulgaris	0	176	0	1	0
GCDT_142	Vulgaris	0	174	0	3	0
GCDT_143	Vulgaris	1	174	0	2	0
GCDT_144	Vulgaris	0	56	121	0	0
GCDT_145	Vulgaris	0	172	1	4	0
GCDT_146	Vulgaris	0	172	0	5	0
GCDT_147	Vulgaris	0	160	0	17	0
GCDT_151	Vulgaris	0	167	0	10	0
