family,PopCode
((VAP    1xG 40056)F1 X SEN  118)F1 X ICTA LIGERO,G1
((VAP    1xG 40056)F1 X SEN  118)F1 X SEF   10,G2
((VAP    1xG 40056)F1 X SEN  118)F1 X SEN  118,G3
((VAP    1xG 40056)F1 X SEN  118)F1 X SMR  155,G4
((VAP    1xG 40287)F1 X ICTA LIGERO)F1 X ICTA LIGERO,G5
((VAP    1xG 40287)F1 X ICTA LIGERO)F1 X SEF   10,G6
((VAP    1xG 40287)F1 X ICTA LIGERO)F1 X SEN  118,G7
((VAP    1xG 40287)F1 X ICTA LIGERO)F1 X SMR  155,G8
((VAP    1xG 40287)F1 X SEF   10)F1 X ICTA LIGERO,G9
((VAP    1xG 40287)F1 X SEF   10)F1 X SEF   10,G10
((VAP    1xG 40287)F1 X SEF   10)F1 X SEN  118,G11
((VAP    1xG 40287)F1 X SEF   10)F1 X SMC  214,G12
((VAP    1xG 40287)F1 X SEF   10)F1 X SMR  155,G13
(VAP    1xG 40287)F1 X SEF   10,G14
G40056,G40056
G40287,G40287
ICTA_LIGERO,ICTA_LIGERO
SEF_010,SEF_010
SEN_118,SEN_118
SMC_214,SMC_214
SMR_155,SMR_155
VAP_001,VAP_001
