Location,Unique_Id,row,col,Genotype,PlHa,PHI,YdHa,YdPl,SW,PSN,SWP,HI,VPP,StWP,PlHa_cat
INV-M3-1,20GH2CA416,8,16,GCDT_279,5.0,42.06349206,22.08333333,0.106,0.106,1.25,0.1325,11.37339056,2.0,3.4,2.0
INV-M3-1,20GH2CA674,7,23,GCDT_220,5.0,40.0,42.5,0.204,0.204,1.25,0.255,2.14511041,22.0,45.0,2.0
INV-M3-1,20GH2CA680,1,23,GCDT_065,5.0,40.2173913,46.25,0.222,0.13875,2.0,0.2775,3.831549879,74.0,26.21,2.0
INV-M3-1,20GH2CA597,16,21,GCDT_206,4.0,28.9044289,51.66666667,0.31,0.095384615,1.0,0.09538461538461539,3.502824859,11.0,31.11,1.0
INV-M3-1,20GH2CA690,10,24,GCDT_119,4.0,75.6097561,64.58333333,0.3875,0.119230769,1.857142857,0.22142857142857145,8.119434259,1.0,17.04,1.0
INV-M3-1,20GH2CA557,13,20,GCDT_206,4.0,51.79487179,84.16666667,0.505,0.155384615,1.857142857,0.2885714285714286,4.741784038,8.0,38.7,1.0
INV-M3-1,20GH2CA695,15,24,GCDT_040,4.0,69.6969697,95.83333333,0.575,0.14375,1.454545455,0.20909090909090908,34.48275862,6.0,3.37,1.0
INV-M3-1,20GH2CA414,6,16,GCDT_171,4.0,48.78444084,125.4166667,0.7525,0.130869565,1.277777778,0.16722222222222222,27.19060524,25.0,4.9,1.0
INV-M3-1,20GH2CA603,10,21,GCDT_229,4.0,70.11494253,127.0833333,0.7625,0.160526316,1.727272727,0.2772727272727273,10.67553378,70.0,24.22,1.0
INV-M3-1,20GH2CA785,32,27,GCDT_231,4.0,56.28318584,132.5,0.795,0.167368421,1.357142857,0.22714285714285715,18.76106195,40.0,11.3,1.0
INV-M3-1,20GH2CA694,14,24,VAP_001,4.0,80.2955665,135.8333333,0.815,0.14173913,4.6,0.6519999999999999,20.4902577,1.0,11.85,1.0
INV-M3-1,20GH2CA459,18,17,GCDT_233,3.0,69.84732824,152.5,1.22,0.215294118,1.416666667,0.305,23.85919166,,10.1,1.0
INV-M3-1,20GH2CA614,2,22,GCDT_079,4.0,16.7041873,154.5833333,0.9275,0.206111111,1.2,0.24733333333333332,7.112730061,54.0,29.95,1.0
INV-M3-1,20GH2CA686,6,24,GCDT_220,3.0,46.6507177,162.5,1.3,0.169565217,1.533333333,0.26,10.49515608,13.0,28.8,1.0
INV-M3-1,20GH2CA621,9,22,GCDT_006,4.0,61.59527326,173.75,1.0425,0.260625,1.333333333,0.3475,10.89057195,12.0,31.52,1.0
INV-M3-1,20GH2CA704,24,24,GCDT_277,5.0,80.98859316,177.5,0.852,0.142,2.5,0.355,61.11908178,2.0,1.71,2.0
INV-M3-1,20GH2CA678,3,23,ICTA_LIGERO,4.0,82.29755179,182.0833333,1.0925,0.156071429,2.333333333,0.3641666666666667,,3.0,,1.0
INV-M3-1,20GH2CA691,11,24,GCDT_196,4.0,64.33666191,187.9166667,1.1275,0.167037037,2.7,0.45099999999999996,28.50821745,3.0,8.81,1.0
INV-M3-1,20GH2CA745,4,25,GCDT_302,4.0,55.49065421,197.9166667,1.1875,0.11875,2.5,0.296875,16.95217702,7.0,19.46,1.0
INV-M3-1,20GH2CA536,9,19,GCDT_142,4.0,27.41661956,202.0833333,1.2125,0.156451613,1.033333333,0.16166666666666665,7.23988655,27.0,49.3,1.0
INV-M3-1,20GH2CA672,9,23,GCDT_186,5.0,68.97038082,203.75,0.978,0.163,1.578947368,0.2573684210526316,39.85330073,9.0,5.18,2.0
INV-M3-1,20GH2CA514,31,19,GCDT_171,4.0,59.85832349,211.25,1.2675,0.112666667,2.5,0.2816666666666667,39.92125984,19.0,4.23,1.0
INV-M3-1,20GH2CA410,2,16,GCDT_264,3.0,71.13821138,218.75,1.75,0.181034483,1.705882353,0.3088235294117647,17.39562624,1.0,22.8,1.0
INV-M3-1,20GH2CA428,20,16,GCDT_189,3.0,72.58883249,238.3333333,1.906666667,0.133023256,3.307692308,0.44,60.33755274,1.0,1.6,1.0
INV-M3-1,20GH2CA477,1,18,GCDT_107,3.0,57.55182626,242.9166667,1.943333333,0.342941176,1.133333333,0.38866666666666666,9.893093501,17.0,48.8,1.0
INV-M3-1,20GH2CA421,13,16,GCDT_118,5.0,75.48387097,243.75,1.17,0.188709677,3.1,0.585,26.89655172,,14.0,2.0
INV-M3-1,20GH2CA625,13,22,GCDT_183,3.0,67.77905639,245.4166667,1.963333333,0.178484848,1.571428571,0.28047619047619043,36.15715163,3.0,7.6,1.0
INV-M3-1,20GH2CA549,5,20,GCDT_083,5.0,42.96577947,282.5,1.356,0.218709677,1.291666667,0.28250000000000003,11.83659218,164.0,41.5,2.0
INV-M3-1,20GH2CA624,12,22,GCDT_237,4.0,72.53306205,297.0833333,1.7825,0.139803922,2.318181818,0.3240909090909091,49.34256055,4.0,4.62,1.0
INV-M3-1,20GH2CA478,2,18,GCDT_048,4.0,53.39233038,301.6666667,1.81,0.164545455,1.76,0.2896,15.75282855,94.0,32.4,1.0
INV-M3-1,20GH2CA693,13,24,GCDT_297,5.0,73.12326228,328.75,1.578,0.2465625,2.666666667,0.6575,29.97720365,7.0,15.53,2.0
