,HI_M3-Ambiente,PHI_M3-Ambiente,PSN_M3-Ambiente,SW_M3-Ambiente,SWP_M3-Ambiente,StWP_M3-Ambiente,VPP_M3-Ambiente,YdHa_M3-Ambiente,YdPl_M3-Ambiente,HI_INV-M3-1,PHI_INV-M3-1,PSN_INV-M3-1,SW_INV-M3-1,SWP_INV-M3-1,StWP_INV-M3-1,VPP_INV-M3-1,YdHa_INV-M3-1,YdPl_INV-M3-1,HI_INV-M3-2,PHI_INV-M3-2,PSN_INV-M3-2,SW_INV-M3-2,SWP_INV-M3-2,StWP_INV-M3-2,VPP_INV-M3-2,YdHa_INV-M3-2,YdPl_INV-M3-2,PHI_Caribia,YdHa_Caribia,YdPl_Caribia,PHI_Espinal,SW_Espinal,YdHa_Espinal,YdPl_Espinal
AMADEUS,64.058,73.167,3.749,0.208,0.734,1.81,-2.2,776.864,4.954,62.464,79.638,3.978,0.23,0.918,4.119,0.36,1132.797,7.831,55.791,75.478,3.115,0.209,0.698,8.594,3.333,687.325,3.752,59.919,15.229,0.856,NA,NA,NA,NA
DOR_390,63.474,75.756,3.829,0.2,0.78,10.625,0.004,1470.325,11.009,52.065,77.176,4.529,0.237,1.055,34.044,6.25,2001.512,12.486,44.84,71.179,2.909,0.214,0.695,37.267,2.183,1631.365,9.27,71.342,155.172,2.104,NA,NA,NA,NA
GCDT_001,58.135,71.47,3.444,0.223,0.769,11.263,0.119,1389.698,9.36,56.019,78.076,3.85,0.243,0.974,26.512,NA,1791.917,13.559,50.836,78.935,3.413,0.253,0.919,17.201,-4.378,959.619,5.347,70.494,139.984,1.02,79.425,0.261,1219.599,12.353
GCDT_002,55.587,69.456,3.345,0.127,0.403,2.578,-1.418,304.888,2.359,55.437,75.394,3.026,0.161,0.506,13.531,3.136,860.053,4.742,57.366,75.191,2.769,0.182,0.562,13.535,5.772,1320.228,7.354,61.103,124.469,0.399,77.112,0.193,658.757,8.051
GCDT_003,60.242,72.662,3.634,0.294,1.061,14.324,-3.942,2154.367,13.677,48.643,72.746,3.0,0.262,0.779,19.581,0.836,1386.202,9.316,57.546,77.487,2.673,0.277,0.876,16.228,2.028,1669.952,8.433,70.827,55.764,2.282,75.2,0.27,1129.686,11.254
GCDT_004,66.162,77.287,3.858,0.2,0.777,2.496,-2.886,656.474,5.677,60.92,78.091,3.278,0.186,0.595,16.15,2.42,1796.823,9.931,61.029,78.764,2.788,0.255,0.754,20.3,NA,1850.734,9.642,NA,159.88,2.118,80.44,0.221,1564.744,17.182
GCDT_005,42.962,69.375,2.835,0.23,0.635,10.46,1.947,524.381,4.294,34.072,68.571,0.88,0.236,0.287,27.018,8.918,1041.422,5.111,29.654,69.054,0.898,0.206,0.289,28.552,1.009,655.883,3.455,61.138,196.473,3.888,NA,NA,NA,NA
GCDT_006,35.619,64.142,3.165,0.263,0.779,30.988,26.762,1074.331,6.969,19.952,61.076,1.685,0.272,0.453,42.713,24.373,682.839,3.519,42.004,65.967,1.749,0.296,0.558,30.548,29.512,938.365,4.863,63.614,120.527,0.663,75.377,0.268,1071.301,11.125
GCDT_007,57.28,73.426,2.649,0.209,0.602,3.12,-1.073,419.433,4.816,48.417,81.918,3.144,0.257,0.782,22.858,7.295,889.087,4.985,54.548,79.189,3.368,0.194,0.774,6.036,2.688,357.489,2.376,68.237,134.941,1.307,77.406,0.276,988.631,11.604
GCDT_008,56.595,73.885,2.737,0.322,0.908,11.509,4.301,1057.463,10.496,44.728,71.296,1.82,0.306,0.602,15.721,-5.114,1008.688,5.649,51.782,73.827,1.719,0.322,0.722,23.819,12.226,1601.779,8.373,NA,NA,NA,78.832,0.324,1567.811,16.168
GCDT_009,38.332,65.635,2.746,0.211,0.531,28.015,-0.877,1168.141,8.722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.192,0.061,0.04,58.522,67.825,103.073,0.047,NA,NA,NA,77.503,0.28,607.401,6.64
GCDT_010,55.955,69.624,2.911,0.229,0.672,11.073,-0.769,909.091,7.676,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.246,75.294,2.994,0.26,0.823,14.55,-3.605,522.063,3.13,71.037,40.099,1.169,75.411,NA,NA,NA
GCDT_011,48.038,70.165,3.314,0.241,0.772,15.582,-0.454,1019.195,7.556,20.907,67.099,3.282,0.19,0.636,44.468,28.731,644.439,3.421,13.386,62.246,2.081,0.191,0.448,35.495,-6.554,168.522,1.077,62.581,98.946,0.026,75.522,0.272,1687.341,15.349
GCDT_012,40.68,61.952,1.459,0.191,0.212,7.426,-3.153,276.273,2.792,48.48,71.747,2.173,0.25,0.534,13.501,5.348,691.468,3.524,53.014,75.669,2.13,0.245,0.644,6.987,-7.143,616.288,3.585,NA,NA,NA,68.299,0.266,518.798,4.395
GCDT_013,62.961,77.343,3.764,0.305,1.144,8.723,0.339,1083.466,9.156,46.573,73.922,3.371,0.26,0.889,26.131,10.724,1355.956,6.92,43.257,69.344,2.353,0.297,0.821,16.475,0.182,853.155,4.297,NA,NA,NA,77.627,0.328,1951.72,16.752
GCDT_014,65.819,77.377,2.455,0.276,0.745,16.367,-0.391,2097.68,18.055,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.947,61.062,0.958,0.231,0.296,27.22,NA,226.724,0.943,NA,NA,NA,74.424,NA,NA,NA
GCDT_015,59.23,75.949,3.832,0.258,1.01,20.447,5.743,1454.095,8.92,NA,NA,NA,NA,NA,41.44,28.901,NA,NA,38.969,70.631,1.402,0.282,0.436,30.965,0.543,815.485,3.925,62.483,76.57,1.225,76.673,0.321,864.092,9.707
