,HI_M3-Ambiente,PHI_M3-Ambiente,PSN_M3-Ambiente,SW_M3-Ambiente,SWP_M3-Ambiente,StWP_M3-Ambiente,VPP_M3-Ambiente,YdHa_M3-Ambiente,YdPl_M3-Ambiente,HI_INV-M3-1,PHI_INV-M3-1,PSN_INV-M3-1,SW_INV-M3-1,SWP_INV-M3-1,StWP_INV-M3-1,VPP_INV-M3-1,YdHa_INV-M3-1,YdPl_INV-M3-1,HI_INV-M3-2,PHI_INV-M3-2,PSN_INV-M3-2,SW_INV-M3-2,SWP_INV-M3-2,StWP_INV-M3-2,VPP_INV-M3-2,YdHa_INV-M3-2,YdPl_INV-M3-2,PHI_Caribia,YdHa_Caribia,YdPl_Caribia,PHI_Espinal,SW_Espinal,YdHa_Espinal,YdPl_Espinal
AMADEUS,63.368,74.482,3.703,0.203,0.729,3.773,3.438,908.671,5.841,58.911,77.305,3.774,0.231,0.874,14.534,13.149,1235.02,7.603,55.154,75.457,3.304,0.209,0.678,10.326,4.579,850.261,6.464,63.29,114.28,2.27,NA,NA,NA,NA
DOR_390,58.956,74.328,3.79,0.197,0.753,10.662,3.528,1352.815,9.82,51.514,76.7,4.129,0.228,0.961,27.662,12.766,1745.361,10.421,44.22,71.936,3.207,0.207,0.681,34.226,5.66,1401.445,9.037,70.22,138.076,2.409,NA,NA,NA,NA
GCDT_001,55.782,71.838,3.375,0.208,0.72,9.754,3.578,1109.935,7.091,51.873,75.973,3.457,0.237,0.837,24.332,NA,1542.782,9.881,51.531,78.238,3.5,0.245,0.83,17.128,5.346,997.55,6.875,70.221,136.333,2.348,79.001,0.258,1165.224,12.177
GCDT_002,55.685,71.746,3.305,0.156,0.487,5.858,3.507,778.354,5.264,55.417,76.816,2.971,0.175,0.519,14.26,12.777,967.687,5.34,57.054,75.204,3.247,0.184,0.609,13.172,6.08,1165.808,7.839,64.133,128.627,2.361,77.131,0.202,875.425,9.06
GCDT_003,59.539,73.754,3.577,0.255,0.968,11.878,3.33,1688.429,10.712,49.584,72.306,2.907,0.262,0.766,23.087,12.969,1327.291,8.322,55.613,76.263,3.033,0.27,0.809,16.475,5.842,1471.807,9.24,70.853,121.878,2.332,75.596,0.26,1129.597,11.778
GCDT_004,64.628,77.155,3.851,0.194,0.769,3.759,3.243,876.806,6.405,55.999,76.138,3.117,0.203,0.627,21.008,13.149,1585.378,8.56,60.166,78.676,3.064,0.247,0.741,18.357,NA,1598.864,9.82,NA,141.625,2.502,79.756,0.225,1429.134,15.418
GCDT_005,45.637,70.703,2.934,0.215,0.623,9.257,3.723,657.362,4.55,40.675,68.857,1.794,0.236,0.419,24.716,13.263,1017.787,5.635,34.667,69.708,1.933,0.207,0.4,24.758,5.155,785.203,5.996,62.4,141.934,2.762,NA,NA,NA,NA
GCDT_006,43.676,69.274,3.121,0.239,0.749,24.07,5.627,1048.518,6.746,26.477,64.014,1.943,0.261,0.476,34.844,13.587,919.659,4.957,41.592,67.749,2.33,0.271,0.607,29.5,20.345,949.853,6.677,65.431,132.019,2.342,75.827,0.26,1128.44,11.453
GCDT_007,56.398,73.423,3.086,0.203,0.619,6.076,3.504,804.912,5.998,47.263,78.737,2.885,0.241,0.7,23.76,13.243,1176.362,6.347,52.985,78.188,3.49,0.202,0.705,9.496,6.233,541.53,4.779,67.592,133.898,2.299,77.345,0.272,1075.344,11.648
GCDT_008,54.4,73.055,2.87,0.271,0.807,10.179,3.949,928.391,7.64,47.724,72.919,2.192,0.278,0.594,19.31,12.947,1107.652,5.999,50.846,73.356,2.387,0.299,0.702,22.482,15.622,1378.316,9.034,NA,NA,NA,78.538,0.308,1405.478,15.052
GCDT_009,44.174,69.282,2.977,0.2,0.574,24.012,3.424,1113.035,7.684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.114,0.1,0.252,46.417,37.459,510.628,3.967,NA,NA,NA,77.545,0.271,795.946,8.293
GCDT_010,53.225,70.561,2.95,0.224,0.654,11.298,3.348,950.285,6.883,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.206,75.6,3.187,0.25,0.803,15.212,5.961,743.212,5.913,69.847,108.177,2.279,75.869,NA,NA,NA
GCDT_011,49.735,71.701,3.311,0.219,0.738,14.488,3.59,962.626,6.482,28.151,68.259,3.082,0.197,0.606,34.02,13.605,877.471,5.098,25.228,64.95,2.63,0.196,0.532,30.871,5.599,515.882,4.299,63.772,125.904,2.169,75.995,0.264,1452.351,14.622
GCDT_012,47.393,67.785,2.103,0.197,0.362,8.326,3.376,748.464,5.165,49.807,73.065,2.362,0.236,0.547,14.028,12.716,829.938,4.853,53.287,75.416,2.609,0.246,0.66,8.668,6.282,738.656,5.821,NA,NA,NA,70.239,0.258,917.613,8.291
GCDT_013,60.8,75.489,3.458,0.266,0.973,6.99,3.681,986.672,7.385,44.983,73.044,3.129,0.246,0.775,25.25,13.307,1237.724,6.602,43.651,69.754,2.741,0.275,0.727,17.758,6.168,871.305,5.969,NA,NA,NA,77.625,0.301,1515.936,15.308
GCDT_014,59.172,74.369,2.828,0.241,0.704,12.573,3.54,1476.296,11.954,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.549,63.416,1.894,0.23,0.436,25.453,NA,548.654,4.158,NA,NA,NA,75.086,NA,NA,NA
GCDT_015,52.877,73.094,3.584,0.238,0.911,17.046,4.064,1236.269,8.132,NA,NA,NA,NA,NA,31.506,13.52,NA,NA,40.372,71.341,2.102,0.259,0.509,28.024,6.461,843.385,5.95,65.16,123.109,2.225,76.818,0.305,967.609,10.392
GCDT_016,56.601,73.217,2.665,0.254,0.668,12.428,NA,1380.881,11.2,35.758,65.86,2.071,0.253,0.49,30.348,14.346,1112.512,6.159,51.847,71.257,2.275,0.244,0.555,11.76,8.11,711.772,5.438,NA,NA,NA,74.985,0.262,1029.506,10.171
GCDT_017,52.359,71.895,2.66,0.256,0.659,12.911,3.523,1151.621,7.134,51.553,74.532,2.859,0.286,0.779,20.336,13.059,1282.481,7.095,51.418,75.002,2.646,0.282,0.762,14.235,5.234,709.936,5.306,68.745,156.07,2.562,75.791,0.24,1240.441,13.609
GCDT_018,55.371,73.791,3.775,0.228,0.897,10.289,3.446,1049.053,6.845,48.518,75.597,3.093,0.237,0.733,19.228,13.042,936.929,5.545,51.111,71.507,3.495,0.219,0.748,15.261,5.886,1098.562,8.696,NA,NA,NA,75.778,0.254,1186.08,12.749
GCDT_019,61.452,74.38,3.815,0.259,1.032,9.153,3.344,1368.482,9.009,45.623,70.668,2.601,0.219,0.558,21.625,13.195,1147.736,6.437,50.515,77.996,3.622,0.273,0.974,18.616,NA,1192.172,7.96,68.177,139.446,2.42,76.234,NA,NA,NA
GCDT_020,57.565,73.309,2.958,0.252,0.757,9.603,3.6,1134.946,8.997,46.061,71.501,3.37,0.208,0.695,19.815,13.144,1082.216,6.006,54.509,77.643,3.402,0.267,0.902,17.678,5.737,1199.755,8.04,66.867,135.757,2.347,75.813,0.287,1178.962,12.688
GCDT_021,57.785,73.464,3.526,0.245,0.929,6.274,NA,886.564,7.039,58.633,78.648,3.639,0.286,1.031,14.07,NA,1087.051,6.193,55.601,79.014,3.597,0.268,0.968,13.293,6.299,1115.529,8.839,71.607,158.33,2.594,77.346,NA,NA,NA
