CHROM	n	nSNP	p0	p1	Md_p	GENPOS	POS	pi	pf	pr1	pr2
Chr01	0	260	0	270	135.0	4.446899769220125	540813.7576923077	22587	1106365	0.9612919050756877	0.038708094924312264
Chr01	1	260	10	280	145.0	4.8196027832980715	583700.4153846154	72832	1204184	0.9588098321105941	0.0411901678894059
Chr01	2	250	20	280	150.0	5.008826203833489	603569.2	107673	1204184	0.9571556085005778	0.04284439149942221
Chr01	3	290	30	330	180.0	6.193353951390393	739851.7517241379	143896	1413390	0.9643543700460574	0.03564562995394261
Chr01	4	290	40	340	190.0	6.620263267020522	785328.8379310345	167278	1507691	0.9642719849979202	0.035728015002079755
Chr01	5	280	50	340	195.0	6.83195518719283	807397.2321428572	167521	1507691	0.9631235845157106	0.03687641548428946
Chr01	6	430	60	500	280.0	10.247227719274315	1208293.2255813954	213454	2110258	0.9765559258345196	0.02344407416548047
Chr01	7	420	70	500	285.0	10.439753438766168	1229164.0880952382	388261	2110258	0.9759977335924843	0.024002266407515717
Chr01	8	410	80	500	290.0	10.633780786867336	1249591.1926829268	392212	2110258	0.9754123124605937	0.024587687539406346
Chr01	9	400	90	500	295.0	10.837171685733736	1270992.1825	400374	2110258	0.9747976202721085	0.025202379727891504
Chr01	10	390	100	500	300.0	11.043068305256885	1292786.5794871794	445970	2110258	0.9741514054072908	0.02584859459270924
Chr01	11	400	110	520	315.0	11.607922830780275	1360726.1525	450551	2283919	0.9722976202721085	0.02770237972789151
Chr01	12	390	120	520	320.0	11.814167443836679	1383648.3128205128	478496	2283919	0.9715873028431883	0.028412697156811804
Chr01	13	380	130	520	325.0	12.019353867388167	1407162.8447368422	499859	2283919	0.97083960028643	0.02916039971357001
Chr01	14	370	140	520	330.0	12.228884593274365	1431511.0405405406	526038	2283919	0.9709523822761533	0.02904761772384667
Chr01	15	360	150	520	335.0	12.444779468028376	1456628.3777777778	538822	2283919	0.9701455040060465	0.029854495993953522
Chr01	16	350	160	520	340.0	12.667932889316388	1482422.2514285715	624395	2283919	0.9702448993586001	0.029755100641399815
Chr01	17	340	170	520	345.0	12.863284021721114	1507010.794117647	656000	2283919	0.9693697493397354	0.03063025066026451
Chr01	18	370	180	560	370.0	13.686150649321	1617795.137837838	705408	2388424	0.9726313336870683	0.02736866631293167
Chr01	19	360	190	560	375.0	13.874561210285727	1643098.4694444444	744828	2388424	0.9718710929561536	0.028128907043846442
Chr01	20	350	200	560	380.0	14.061179493974175	1667322.5742857142	826008	2388424	0.971067409897758	0.028932590102242056
Chr01	21	400	210	620	415.0	15.104969894206857	1817370.425	884676	2649939	0.9736233771040642	0.026376622895935713
Chr01	22	390	220	620	420.0	15.283682201956225	1840433.7538461538	980435	2649939	0.9729470534400658	0.02705294655993407
Chr01	23	380	230	620	425.0	15.454935801585078	1862884.3210526316	991862	2649939	0.9731123267762081	0.02688767322379198
Chr01	24	370	240	620	430.0	15.632413955360377	1886192.145945946	1034118	2649939	0.9723856329052948	0.027614367094705276
Chr01	25	390	250	650	450.0	16.221142815879208	1967890.4538461538	1099063	2788471	0.9726880529267745	0.027311947073225543
Chr01	26	380	260	650	455.0	16.405433341960144	1990664.4631578948	1136050	2788471	0.9728465104599352	0.027153489540064815
Chr01	27	410	270	690	480.0	17.16546420899991	2099637.9731707317	1218151	3050527	0.9744775267962666	0.025522473203733367
Chr01	28	400	280	690	485.0	17.341578606684788	2121650.15	1220215	3050527	0.9738394649661732	0.0261605350338267
Chr01	29	390	290	690	490.0	17.522682349245905	2144424.2102564103	1291399	3050527	0.9731686820165879	0.026831317983412
Chr01	30	380	300	690	495.0	17.692737303353326	2166458.834210526	1322913	3050527	0.972462594701235	0.027537405298764944
Chr01	31	380	310	700	505.0	18.00853628512456	2212051.2157894736	1354590	3088105	0.9727549923620538	0.027245007637946232
Chr01	32	380	320	710	515.0	18.316847759795863	2259331.489473684	1413393	3221377	0.9718777993795976	0.02812220062040237
Chr01	33	390	330	730	530.0	18.720948085290022	2329702.623076923	1507703	3248416	0.9739419821619454	0.02605801783805453
Chr01	34	380	340	730	535.0	18.84995612064832	2349595.4789473685	1626760	3248416	0.9732562448504177	0.02674375514958228
Chr01	35	400	350	760	555.0	19.329585928535572	2439869.6975	1629370	3347429	0.9740631293296599	0.025936870670340135
Chr01	36	390	360	760	560.0	19.461615762121895	2459962.553846154	1700537	3347429	0.9739109018765743	0.02608909812342578
Chr01	37	380	370	760	565.0	19.59401747193416	2479700.7184210527	1719355	3347429	0.9732243466627999	0.02677565333720014
Chr01	38	370	380	760	570.0	19.726395774824468	2499352.4864864866	1794568	3347429	0.972500680356389	0.027499319643610947
Chr01	39	360	390	760	575.0	19.858221548409606	2518921.7527777776	1795324	3347429	0.9717368103662888	0.02826318963371125
Chr01	40	350	400	760	580.0	19.99668496775488	2539496.76	1847090	3347429	0.9709292906624685	0.029070709337531572
Chr01	41	340	410	760	585.0	20.12848399243357	2559655.720588235	1859310	3347429	0.9700742697995999	0.029925730200400142
Chr01	42	330	420	760	590.0	20.261845294360107	2580438.4484848483	1878767	3347429	0.9691674294904968	0.030832570509503176
Chr01	43	320	430	760	595.0	20.401444860521593	2602332.809375	1882914	3347429	0.9682039116620749	0.03179608833792516
Chr01	44	310	440	760	600.0	20.53632602959288	2624540.4838709678	1944445	3347429	0.9671782313931095	0.03282176860689049
Chr01	45	300	450	760	605.0	20.66606978047733	2647200.8666666667	1962550	3347429	0.9660841724395465	0.033915827560453506
Chr01	46	290	460	760	610.0	20.790793983295018	2670175.2793103447	2014854	3347429	0.9649146611443584	0.03508533885564156
Chr01	47	280	470	760	615.0	20.9138466169394	2693126.2071428574	2046267	3347429	0.9636616133280855	0.036338386671914476
Chr01	48	270	480	760	620.0	21.04243074158143	2716583.0296296296	2064107	3347429	0.9623157471550516	0.037684252844948335
Chr01	49	270	490	770	630.0	21.28230626340616	2763790.7555555557	2173362	3392159	0.9623157471550516	0.03768425284494833
Chr01	50	260	500	770	635.0	21.403467089366046	2786032.4307692307	2218819	3392159	0.9608663528148614	0.03913364718513867
Chr01	51	270	510	790	650.0	21.798755102792374	2856473.196296296	2299122	3671789	0.9626926152032029	0.03730738479679695
Chr01	52	260	520	790	655.0	21.91260211509286	2877863.9423076925	2303953	3671789	0.9612577157879416	0.03874228421205837
Chr01	53	250	530	790	660.0	22.03381517363249	2900678.8	2309254	3671789	0.9597080244194593	0.040291975580540706
Chr01	54	240	540	790	665.0	22.1627855455831	2924886.2333333334	2385192	3671789	0.9580291921036035	0.04197080789639658
Chr01	55	250	550	810	680.0	22.692178061439453	3011207.628	2392015	3764859	0.9598898429979718	0.040110157002028246
Chr01	56	270	560	840	700.0	23.34038983083259	3133738.222222222	2485557	4008071	0.9594939631064784	0.040506036893521585
Chr01	57	260	570	840	705.0	23.487423358106952	3158365.296153846	2518085	4008071	0.9579360386105736	0.04206396138942625
Chr01	58	250	580	840	710.0	23.637620733459123	3183913.052	2525323	4008071	0.9562534801549968	0.04374651984500331
Chr01	59	240	590	840	715.0	23.793072026653878	3210976.9625	2547897	4008071	0.9544307084947883	0.04556929150521178
Chr01	60	230	600	840	720.0	23.940708408358596	3238592.591304348	2606542	4008071	0.9524494349510834	0.04755056504891664
