Chr	First	Last	Sample	Sample group	Haplotype group	Total variants	Genotyped variants	Score Acutifolius	Score Vulgaris	Score self group
Chr01	72791	526435	GCDT_183	Vulgaris	Acutifolius	50	49	49	-49	-49
Chr01	72791	526435	GCDT_235	Vulgaris	Acutifolius	50	42	42	-42	-42
Chr01	72791	2901973	GCDT_249	Vulgaris	Acutifolius	350	343	343	-343	-343
Chr01	72791	3487853	GCDT_147	Vulgaris	U	400	383	-4	4	4
Chr01	72791	3487853	GCDT_163	Vulgaris	Acutifolius	400	365	362	-362	-362
Chr01	72791	3487853	GCDT_255	Vulgaris	U	400	384	-27	27	27
Chr01	526446	980435	GCDT_183	Vulgaris	U	50	50	8	-8	-8
Chr01	526446	980435	GCDT_235	Vulgaris	U	50	48	8	-8	-8
Chr01	526446	3487853	GCDT_198	Vulgaris	Acutifolius	350	350	334	-334	-334
Chr01	1328278	2062102	GCDT_135	Vulgaris	U	100	87	-54	54	54
Chr01	2486943	39709292	GCDT_282	Vulgaris	Acutifolius	1250	1243	1225	-1225	-1225
Chr01	2901997	3487853	GCDT_249	Vulgaris	U	50	50	-8	8	8
Chr01	3512215	4420932	GCDT_199	Vulgaris	Acutifolius	50	44	44	-44	-44
Chr01	3512215	39709292	GCDT_101	Vulgaris	Acutifolius	1150	1149	1135	-1135	-1135
Chr01	3512215	39709292	GCDT_109	Vulgaris	Acutifolius	1150	1125	1095	-1095	-1095
Chr01	4420954	5476190	GCDT_114	Vulgaris	U	50	49	-29	29	29
Chr01	7012396	7692278	GCDT_199	Vulgaris	Acutifolius	50	45	42	-42	-42
Chr01	9633900	18275685	GCDT_199	Vulgaris	Acutifolius	250	216	216	-216	-216
Chr01	21361015	27317902	GCDT_199	Vulgaris	Acutifolius	50	41	41	-41	-41
Chr01	31552555	34232205	GCDT_199	Vulgaris	Acutifolius	50	40	38	-38	-38
Chr01	37523131	38178078	GCDT_227	Vulgaris	U	50	48	14	-14	-14
Chr01	39834898	45613507	GCDT_109	Vulgaris	U	50	49	-21	21	21
Chr01	39834898	45613507	GCDT_113	Vulgaris	U	50	44	20	-20	-20
Chr01	39834898	45613507	GCDT_160	Vulgaris	U	50	46	-10	10	10
Chr01	39834898	45613507	GCDT_282	Vulgaris	U	50	50	-22	22	22
Chr01	39834898	45613507	GCDT_290	Vulgaris	U	50	48	20	-20	-20
Chr01	39834898	48806089	GCDT_101	Vulgaris	U	650	643	7	-7	-7
Chr01	39834898	51134643	GCDT_214	Vulgaris	U	1050	1009	-19	19	19
Chr01	45613520	46669692	GCDT_113	Vulgaris	Acutifolius	200	193	193	-193	-193
Chr01	45613520	47477888	GCDT_290	Vulgaris	Acutifolius	400	388	372	-372	-372
Chr01	45613520	51134643	GCDT_160	Vulgaris	Acutifolius	1000	922	921	-921	-921
