CHROM	n	nSNP	p0	p1	Md_p	GENPOS	POS	pi	pf	pr1	pr2
Chr01	0	140	0	150	75.0	1.981677315887535	306087.8	22587	499796	0.922058665653802	0.07794133434619795
Chr01	1	150	10	170	90.0	2.4239700494001104	349825.36666666664	72832	526411	0.93201665937212	0.06798334062788
Chr01	2	160	20	190	105.0	2.855937354072407	391473.725	113934	624422	0.936473949994696	0.06352605000530388
Chr01	3	200	30	240	135.0	4.0448396317222475	495896.1	157472	916581	0.944961988774453	0.05503801122554697
Chr01	4	220	40	270	155.0	4.797529251923863	573039.3227272728	167486	992029	0.9545108988858665	0.045489101114133616
Chr01	5	250	50	310	180.0	5.691471480078429	675151.524	212599	1218245	0.9568404050837095	0.04315959491629053
Chr01	6	240	60	310	185.0	5.864833653218587	694392.3583333333	213720	1218245	0.9578198664066417	0.04218013359335819
Chr01	7	280	70	360	215.0	6.908014257855855	815050.2571428572	388166	1412584	0.9626551235866454	0.03734487641335464
Chr01	8	270	80	360	220.0	7.0719413095927965	830746.5777777778	392198	1412584	0.9612719800157804	0.03872801998421963
Chr01	9	260	90	360	225.0	7.248092645309754	847593.1307692308	400352	1412584	0.9597824407856181	0.04021755921438192
Chr01	10	250	100	360	230.0	7.4280897784621756	864838.76	445935	1412584	0.9581737384170428	0.0418262615829572
Chr01	11	240	110	360	235.0	7.606600058143723	882284.5208333334	446929	1412584	0.9578198664066417	0.04218013359335819
Chr01	12	250	120	380	250.0	8.18637723521087	945412.964	459237	1500560	0.9562101007800179	0.04378989921998204
Chr01	13	240	130	380	255.0	8.374837104041745	965159.8958333334	478558	1500560	0.954385521645852	0.04561447835414797
Chr01	14	260	140	410	275.0	9.181178895160654	1056615.776923077	499840	1670105	0.9613131301688209	0.03868686983117913
Chr01	15	250	150	410	280.0	9.37857473017609	1078694.564	507906	1670105	0.9597656553755737	0.0402343446244263
Chr01	16	360	160	530	345.0	11.692758482560222	1362620.8472222222	526416	2089748	0.972059482899704	0.02794051710029604
Chr01	17	350	170	530	350.0	11.89819035130556	1386275.4114285714	540745	2089748	0.9712611824111241	0.028738817588875927
Chr01	18	370	180	560	370.0	12.602631351994242	1474936.1405405405	655716	2299176	0.9723641815600723	0.02763581843992768
Chr01	19	360	190	560	375.0	12.775324318452343	1497404.1222222222	698995	2299176	0.971596519936741	0.028403480063259004
Chr01	20	400	200	610	405.0	13.712850441993602	1626615.9625	705598	2486879	0.9710404025528004	0.028959597447199538
Chr01	21	390	210	610	410.0	13.884202973917276	1649559.9256410256	811024	2486879	0.970297848772103	0.029702151227896958
Chr01	22	380	220	610	415.0	14.053144418281269	1671427.4394736842	851433	2486879	0.9695162132134741	0.030483786786525822
Chr01	23	420	230	660	445.0	14.932789455043261	1796282.3976190477	916590	2649942	0.9745358331190692	0.02546416688093077
Chr01	24	410	240	660	450.0	15.097805939364495	1817591.8853658536	924355	2649942	0.973914755878071	0.02608524412192908
Chr01	25	400	250	660	455.0	15.266771898656966	1839498.405	980682	2649942	0.9732626247750227	0.026737375224977305
Chr01	26	390	260	660	460.0	15.432312808965197	1861261.617948718	992055	2649942	0.9734317519060062	0.026568248093993815
Chr01	27	380	270	660	465.0	15.602403425462217	1883580.3368421053	1046456	2649942	0.9727325874824799	0.02726741251751998
Chr01	28	390	280	680	480.0	16.048454625972244	1943958.3974358975	1104020	2682180	0.973289301763556	0.026710698236443963
Chr01	29	380	290	680	485.0	16.222817695493084	1965169.9710526315	1193877	2682180	0.9734635816345267	0.026536418365473196
Chr01	30	390	300	700	500.0	16.650040138285075	2026049.2846153846	1218266	2810408	0.9718907001106634	0.028109299889336574
Chr01	31	380	310	700	505.0	16.821743512023485	2047272.7868421052	1220530	2810408	0.9711509816925229	0.02884901830747701
Chr01	32	370	320	700	510.0	16.994386282689003	2068882.8945945946	1291458	2810408	0.9703712784950236	0.02962872150497639
Chr01	33	360	330	700	515.0	17.157395878103397	2089853.447222222	1328276	2810408	0.9704741843791447	0.02952581562085537
Chr01	34	350	340	700	520.0	17.320999371709522	2111086.745714286	1354594	2810408	0.9705829705995012	0.02941702940049885
Chr01	35	370	350	730	540.0	17.90267693383548	2195753.416216216	1413330	3050269	0.9700354876231599	0.029964512376840093
Chr01	36	360	360	730	545.0	18.059982238750454	2217179.980555556	1465425	3050269	0.9701290659830625	0.029870934016937495
Chr01	37	360	370	740	555.0	18.345617495454142	2261058.163888889	1502069	3088058	0.9716161596877866	0.02838384031221339
Chr01	38	350	380	740	560.0	18.48259295160464	2281850.402857143	1594659	3088058	0.9708051928217234	0.029194807178276636
Chr01	39	350	390	750	570.0	18.752122295527414	2325646.0142857144	1627186	3221020	0.9703290023455329	0.029670997654467107
Chr01	40	340	400	750	575.0	18.88782545365642	2345633.7529411763	1670109	3221020	0.9700445612380486	0.029955438761951437
Chr01	41	330	410	750	580.0	19.024016316682	2365122.712121212	1719327	3221020	0.9691368206695047	0.03086317933049542
Chr01	42	320	420	750	585.0	19.160821184997037	2384499.56875	1794547	3221020	0.9681723463154267	0.031827653684573395
Chr01	43	310	430	750	590.0	19.29567898808038	2403522.035483871	1795105	3221020	0.9671456478094727	0.032854352190527375
Chr01	44	300	440	750	595.0	19.438473974078278	2423680.283333333	1847090	3221020	0.9660505027364551	0.03394949726354495
Chr01	45	290	450	750	600.0	19.57374831357479	2443321.255172414	1859310	3221020	0.9648798304170225	0.035120169582977534
Chr01	46	280	460	750	605.0	19.711112145171825	2463660.382142857	1878767	3221020	0.9636255386462019	0.03637446135379816
Chr01	47	270	470	750	610.0	19.856165958800684	2485284.1407407406	1882914	3221020	0.9622783363738391	0.03772166362616106
Chr01	48	260	480	750	615.0	19.996013548781033	2507260.65	1944445	3221020	0.9608275031574482	0.03917249684255188
Chr01	49	250	490	750	620.0	20.130093550609903	2529761.916	1962550	3221020	0.9592606032837461	0.04073939671625394
Chr01	50	240	500	750	625.0	20.258469619436802	2552629.375	2015978	3221020	0.9575631284205688	0.0424368715794312
Chr01	51	230	510	750	630.0	20.382249477789905	2574551.604347826	2062140	3221020	0.95571804704755	0.04428195295244994
Chr01	52	230	520	760	640.0	20.64529877501346	2624813.613043478	2102012	3238337	0.9547518634726708	0.04524813652732916
Chr01	53	220	530	760	645.0	20.77581028557521	2647091.440909091	2173875	3238337	0.9526951299941558	0.047304870005844116
Chr01	54	210	540	760	650.0	20.891567232091422	2667469.4523809524	2271911	3238337	0.9504425171367347	0.04955748286326527
Chr01	55	250	550	810	680.0	21.532310606696164	2809581.776	2299207	3370943	0.9588565624830113	0.04114343751698864
Chr01	56	240	560	810	685.0	21.644049647605005	2830721.225	2309079	3370943	0.9571422525864701	0.04285774741352983
Chr01	57	230	570	810	690.0	21.763679306954927	2853392.7608695654	2335057	3370943	0.9552788722641428	0.04472112773585722
Chr01	58	230	580	820	700.0	21.99312117176732	2898344.7130434783	2385653	3402724	0.9552349552601104	0.04476504473988956
Chr01	59	220	590	820	705.0	22.11973685184863	2920667.55	2454501	3402724	0.9532001804992063	0.046799819500793635
Chr01	60	240	600	850	725.0	22.803198244487575	3028844.3291666666	2486943	3737820	0.956745523309603	0.04325447669039696
Chr01	61	230	610	850	730.0	22.94289206874576	3051706.8826086954	2518556	3737820	0.9548648938882814	0.04513510611171856
Chr01	62	220	620	850	735.0	23.08504296426635	3075561.727272727	2547830	3737820	0.9528132981559306	0.04718670184406941
Chr01	63	210	630	850	740.0	23.227047174232307	3100573.8571428573	2567497	3737820	0.950566312353832	0.04943368764616794
Chr01	64	200	640	850	745.0	23.359730181238156	3126012.91	2610941	3737820	0.9480946279715237	0.05190537202847634
Chr01	65	220	650	880	765.0	24.019167351899416	3252662.268181818	2649944	4008015	0.9528132981559306	0.047186701844069395
Chr01	66	210	660	880	770.0	24.1602524255524	3281176.785714286	2659990	4008015	0.950566312353832	0.04943368764616794
Chr01	67	210	670	890	780.0	24.464348081805568	3345575.776190476	2682335	4059688	0.9428943546818743	0.05710564531812563
Chr01	68	200	680	890	785.0	24.620464971421825	3375586.275	2788810	4059688	0.9452663456391087	0.05473365436089134
Chr01	69	200	690	900	795.0	24.925822523458045	3438592.25	2823286	4084569	0.9463269521955826	0.05367304780441742
Chr01	70	190	700	900	800.0	25.07508840237715	3469473.6842105263	2884115	4084569	0.9445546865216659	0.05544531347833413
Chr01	71	180	710	900	805.0	25.205812734248493	3501155.2722222223	2962743	4084569	0.941474391328425	0.058525608671574914
Chr01	72	190	720	920	820.0	25.584421947752066	3596522.8421052634	3050512	4193806	0.944554686521666	0.05544531347833413
Chr01	73	190	730	930	830.0	25.846724857278307	3664519.484210526	3088080	4440719	0.944554686521666	0.055445313478334105
Chr01	74	190	740	940	840.0	26.120613001917135	3738007.236842105	3221328	4623526	0.9443154515499389	0.055684548450061044
Chr01	75	180	750	940	845.0	26.26532048770997	3766502.972222222	3238351	4623526	0.944308285278022	0.055691714721978
Chr01	76	180	760	950	855.0	26.6363076238081	3848653.9944444443	3248358	4795639	0.9387527297224665	0.06124727027753356
Chr01	77	170	770	950	860.0	26.818837309046952	3882838.717647059	3299399	4795639	0.9351499491179057	0.06485005088209436
Chr01	78	160	780	950	865.0	27.019075098360418	3918779.3	3324006	4795639	0.933180154271108	0.06681984572889194
Chr01	79	150	790	950	870.0	27.240309314233492	3958248.2	3347423	4795639	0.9287254978891819	0.07127450211081807
Chr01	80	140	800	950	875.0	27.47503284041921	4000945.9785714285	3370946	4795639	0.9275305666286101	0.07246943337138995
Chr01	81	150	810	970	890.0	28.117792587091547	4154374.7266666666	3451996	4925155	0.9262928366703648	0.07370716332963528
Chr01	82	150	820	980	900.0	28.46717811585313	4251327.293333333	3553798	5001405	0.9272306344775395	0.07276936552246042
Chr01	83	140	830	980	905.0	28.576939982034883	4293144.25	3723948	5001405	0.9220328226545066	0.07796717734549333
Chr01	84	130	840	980	910.0	28.67730464056706	4336138.953846154	3737821	5001405	0.9198815013202379	0.08011849867976206
Chr01	85	120	850	980	915.0	28.788388655391124	4382380.983333333	3797745	5001405	0.9132049597635912	0.0867950402364089
Chr01	86	110	860	980	920.0	28.917868510213392	4427637.763636364	4005922	5001405	0.9053145015602813	0.0946854984397188
Chr01	87	150	870	1030	950.0	29.94637980749519	4775940.306666667	4008021	5559135	0.9269276035133521	0.0730723964866479
Chr01	88	170	880	1060	970.0	30.532369660652186	4973471.211764706	4059753	5757683	0.9386649622617805	0.06133503773821948
Chr01	89	170	890	1070	980.0	30.826528173378627	5073333.747058824	4084592	5765083	0.9398977038791375	0.060102296120862465
Chr01	90	160	900	1070	985.0	31.01541798854987	5132418.45	4175290	5765083	0.9361176852551838	0.06388231474481608
