CHROM	n	nSNP	p0	p1	Md_p	GENPOS	POS	pi	pf	pr1	pr2
Chr01	0	150	0	160	80.0	1.8207472130743418	287266.79333333333	22587	499840	0.9297203622758239	0.07027963772417614
Chr01	1	140	10	160	85.0	1.9497041968591142	303398.21428571426	72832	499840	0.9270813405336209	0.07291865946637921
Chr01	2	130	20	160	90.0	2.0928339604703807	320045.7076923077	107673	499840	0.9214722128823607	0.07852778711763915
Chr01	3	180	30	220	125.0	3.2653886615226106	421789.01666666666	143797	705481	0.9416188190817053	0.05838118091829467
Chr01	4	200	40	250	145.0	4.02576706963866	492331.685	166309	901631	0.9499064326188976	0.05009356738110239
Chr01	5	240	50	300	175.0	5.132110164742378	608331.4625	167459	1100213	0.9564035086638962	0.043596491336103854
Chr01	6	290	60	360	210.0	6.3545460849125694	752506.2034482759	173008	1354567	0.9646002676763811	0.03539973232361893
Chr01	7	300	70	380	225.0	6.897291003760293	814112.3666666667	213632	1465458	0.9662188556882764	0.033781144311723514
Chr01	8	300	80	390	235.0	7.26484133962335	853251.6533333333	383589	1500560	0.9636936025018668	0.036306397498133185
Chr01	9	290	90	390	240.0	7.430132238560357	869239.8137931034	392123	1500560	0.9624416577605518	0.03755834223944812
Chr01	10	280	100	390	245.0	7.6066004760719155	886273.0785714285	393503	1500560	0.9611002883948572	0.0388997116051427
Chr01	11	270	110	390	250.0	7.793670570263543	904255.2074074075	445899	1500560	0.9596595583354075	0.040340441664592434
Chr01	12	260	120	390	255.0	7.972601243102995	921879.9192307693	446236	1500560	0.9593900541688207	0.040609945831179314
Chr01	13	250	130	390	260.0	8.16184197566265	940709.976	461510	1500560	0.9577656563355735	0.04223434366442649
Chr01	14	240	140	390	265.0	8.347583410054062	960180.4458333333	482457	1500560	0.9560058920162224	0.04399410798377759
Chr01	15	390	150	550	350.0	11.410401352391949	1328974.7923076923	499859	2068285	0.9743512035883307	0.025648796411669273
Chr01	16	380	160	550	355.0	11.598400713982333	1350625.35	508014	2068285	0.9736762352617079	0.02632376473829215
Chr01	17	400	170	580	375.0	12.272157637249101	1434845.1425	526446	2283895	0.9733257568319558	0.026674243168044214
Chr01	18	390	180	580	380.0	12.470928100744384	1457851.9	565783	2283895	0.9726418018789289	0.02735819812107099
Chr01	19	380	190	580	385.0	12.658778201729064	1480197.1842105263	655801	2283895	0.9727990422792517	0.027200957720748296
Chr01	20	370	200	580	390.0	12.829378797492552	1502285.9972972972	698944	2283895	0.9720638812597721	0.02793611874022798
Chr01	21	380	210	600	405.0	13.303267911509192	1565455.7815789473	705523	2309102	0.9724700949108307	0.027529905089169346
Chr01	22	370	220	600	410.0	13.473896548943397	1588213.4432432433	789314	2309102	0.9717260434219342	0.02827395657806581
Chr01	23	360	230	600	415.0	13.641439110653556	1609694.611111111	826344	2309102	0.9709406557392102	0.029059344260789863
Chr01	24	390	240	640	440.0	14.360070633056164	1709653.2923076923	916581	2487185	0.9723989883732426	0.027601011626757346
Chr01	25	380	250	640	445.0	14.523190837518639	1730385.6	924259	2487185	0.9716726459620122	0.028327354037987806
Chr01	26	370	260	640	450.0	14.691757841541897	1751863.8783783785	980677	2487185	0.9709070417988233	0.029092958201176668
Chr01	27	360	270	640	455.0	14.855440220385248	1773037.9333333333	992029	2487185	0.9710248299969388	0.028975170003061206
Chr01	28	350	280	640	460.0	15.024394022351293	1794869.3914285714	1034163	2487185	0.9701969679968514	0.029803032003148676
Chr01	29	400	290	700	495.0	15.963628363466716	1929852.99	1100227	2658730	0.973783458108356	0.026216541891643977
Chr01	30	390	300	700	500.0	16.135478842266583	1950843.8153846154	1162304	2658730	0.9739659399401942	0.026034060059805793
Chr01	31	400	310	720	515.0	16.544115265619936	2006482.935	1217648	2788793	0.9732531548301191	0.026746845169880944
Chr01	32	390	320	720	520.0	16.70887447887545	2026676.5384615385	1219833	2788793	0.9725673382873016	0.027432661712698404
Chr01	33	380	330	720	525.0	16.880029153266797	2047727.0578947368	1286883	2788793	0.9718454261369674	0.028154573863032575
Chr01	34	370	340	720	530.0	17.038252648671634	2067841.0648648648	1322880	2788793	0.9710844917082369	0.028915508291763186
Chr01	35	360	350	720	535.0	17.19629633813453	2088122.3333333333	1354587	2788793	0.9721331349964286	0.02786686500357142
Chr01	36	360	360	730	545.0	17.470464912247316	2127857.45	1413390	2810408	0.970617983205795	0.029382016794205087
Chr01	37	350	370	730	550.0	17.615935575948054	2147658.7	1465476	2810408	0.9707308779640557	0.02926912203594427
Chr01	38	370	380	760	570.0	18.149152422130484	2227748.502702703	1502069	3030118	0.9717724521281608	0.028227547871839176
Chr01	39	360	390	760	575.0	18.276865641351147	2247037.9111111113	1594659	3030118	0.9709883535761653	0.02901164642383471
Chr01	40	370	400	780	590.0	18.66930354190787	2310553.9864864866	1627186	3221020	0.9713220016777103	0.028677998322289625
Chr01	41	360	410	780	595.0	18.796118293888604	2329246.211111111	1670069	3221020	0.9705253906132023	0.02947460938679767
Chr01	42	350	420	780	600.0	18.923172914030093	2347412.017142857	1711406	3221020	0.9702546874878653	0.029745312512134754
Chr01	43	340	430	780	605.0	19.052868875654337	2365741.817647059	1783257	3221020	0.9693798253551554	0.030620174644844598
Chr01	44	330	440	780	610.0	19.177077580560475	2383146.7606060607	1795051	3221020	0.9684519412750087	0.031548058724991404
