Chromosome,Position_bp,Predicted_cM
Chr01,16038,-0.0219628707362042
Chr01,16044,-0.0219691798309451
Chr01,16047,-0.0219723343783155
Chr01,16199,-0.0221321647784181
Chr01,16295,-0.0222331102942723
Chr01,22587,-0.0278545261669433
Chr01,62054,0.0101808071147
Chr01,62156,0.0104243412704734
Chr01,62218,0.0105726935604384
Chr01,62239,0.0106229970314688
Chr01,62288,0.0107404802063337
Chr01,62326,0.0108316940580816
Chr01,72791,0.0392970517054405
Chr01,72796,0.0393121851046877
Chr01,72814,0.0393666769905917
Chr01,72832,0.0394211871061969
Chr01,85568,0.0823324109167138
Chr01,85646,0.0826205284691488
Chr01,86176,0.0845859401257919
Chr01,86239,0.0848204533053854
Chr01,86316,0.085107336190814
Chr01,86330,0.0851595269089988
Chr01,86344,0.0852117269129991
Chr01,86347,0.0852229138360723
Chr01,86372,0.0853161547712288
Chr01,86411,0.0854616697177843
Chr01,86549,0.0859771464544383
Chr01,107642,0.174319244296482
Chr01,107673,0.174461776555597
Chr01,107699,0.174581351655705
Chr01,107707,0.174618149865586
Chr01,107708,0.174622749836341
Chr01,107741,0.17477457315834
Chr01,107742,0.17477917460197
Chr01,107864,0.175340877790931
Chr01,107867,0.175354698374785
Chr01,113934,0.204289251851128
Chr01,113960,0.204418241944643
Chr01,143797,0.405571012830316
Chr01,143842,0.405986036186121
Chr01,143896,0.406484633304754
Chr01,143927,0.406771145752673
Chr01,147781,0.444032666796994
Chr01,147860,0.444831488667373
Chr01,148246,0.448755434871861
Chr01,157449,0.553224702492978
Chr01,157457,0.553325182989671
Chr01,157472,0.553513631672822
Chr01,157720,0.556638358128131
Chr01,157736,0.556840539849935
Chr01,166158,0.673613702015914
Chr01,166194,0.67415921523813
Chr01,166217,0.674507953209162
Chr01,166309,0.675904587562423
Chr01,166312,0.675950175335013
Chr01,166333,0.676269369983288
Chr01,166360,0.676679969486038
Chr01,166386,0.677075581121346
Chr01,167019,0.686773880156249
Chr01,167278,0.690779156300002
Chr01,167280,0.690810169250576
Chr01,167280,0.690810169250576
Chr01,167337,0.691694581493206
Chr01,167459,0.693591064116237
Chr01,167486,0.694011428448405
Chr01,167488,0.694042575938962
Chr01,167503,0.694276223418802
Chr01,167507,0.694338541723891
Chr01,167520,0.694541112018499
Chr01,167521,0.694556696617118
Chr01,167649,0.696554202331597
Chr01,167691,0.69721079245801
Chr01,172807,0.781167099282913
Chr01,172824,0.78145818928303
Chr01,173006,0.784579147217269
Chr01,173008,0.784613489850477
Chr01,212435,1.51559319659379
Chr01,212565,1.51771760943935
Chr01,212599,1.51827250121255
Chr01,212613,1.51850089886509
Chr01,213453,1.53211192172789
Chr01,213454,1.53212801676567
Chr01,213455,1.53214411154592
Chr01,213497,1.53281985980266
Chr01,213619,1.53478017292985
Chr01,213632,1.53498883303755
Chr01,213696,1.53601544936604
Chr01,213697,1.53603148189318
Chr01,213720,1.53640015910007
Chr01,372607,2.38033823174704
Chr01,372632,2.38044555681721
Chr01,379179,2.41101008113495
Chr01,379238,2.41130878148415
Chr01,379288,2.41156225655521
Chr01,383445,2.43375322574182
Chr01,383589,2.4345625235878
Chr01,388160,2.46173817339802
Chr01,388165,2.46176951863798
Chr01,388166,2.46177578812111
Chr01,388261,2.46237205077209
Chr01,391839,2.48580132102295
Chr01,391864,2.48597181562365
Chr01,391881,2.48608780677453
Chr01,391948,2.4865453807344
Chr01,392077,2.48742832582864
Chr01,392123,2.48774379430632
Chr01,392158,2.48798404318968
Chr01,392179,2.48812828321105
Chr01,392198,2.48825884471949
Chr01,392212,2.48835508358787
Chr01,392223,2.48843072106745
Chr01,392254,2.48864398175999
Chr01,392373,2.48946400688301
Chr01,392675,2.49155492515721
Chr01,392689,2.49165219848528
Chr01,393503,2.4973605479784
Chr01,393510,2.49741008733426
Chr01,393725,2.49893541254627
Chr01,400352,2.54964135731362
Chr01,400374,2.54982197990365
Chr01,400536,2.55115460164068
Chr01,401434,2.5586244732184
Chr01,407993,2.61758568206002
Chr01,408026,2.61790253159154
Chr01,408103,2.61864265539281
Chr01,445899,3.1393678415065
Chr01,445903,3.13944177868846
Chr01,445904,3.13946026367651
Chr01,445935,3.14003343562997
Chr01,445970,3.14068088468227
Chr01,445978,3.14082892054812
Chr01,446012,3.14145826995618
Chr01,446098,3.1430515743156
Chr01,446210,3.14512961630317
Chr01,446218,3.14527817907131
Chr01,446236,3.14561250911288
Chr01,446370,3.14810418042831
Chr01,446378,3.14825309100252
Chr01,446929,3.15855060151629
Chr01,447205,3.16373887327602
Chr01,447226,3.16413444561758
Chr01,447265,3.16486938304076
Chr01,447358,3.16662351186901
Chr01,450551,3.22812528896459
Chr01,451946,3.25570625052348
Chr01,451964,3.25606469629601
Chr01,452011,3.25700093576385
Chr01,459234,3.40513794938439
Chr01,459237,3.40520087777106
Chr01,461510,3.45310323811558
Chr01,461566,3.45428836272034
Chr01,461837,3.46002636465981
Chr01,478338,3.80779817605934
Chr01,478370,3.8084494833807
Chr01,478481,3.81070741656313
Chr01,478495,3.81099205818704
Chr01,478496,3.81101238850385
Chr01,478536,3.81182546673795
Chr01,478558,3.81227254775979
Chr01,482457,3.89011561099203
Chr01,482719,3.89523687548927
Chr01,482730,3.89545156045157
Chr01,483170,3.90401683612603
Chr01,483220,3.90498740389102
Chr01,487326,3.98259196495902
Chr01,487340,3.9828489337397
Chr01,487341,3.9828672865277
Chr01,487626,3.98808622928653
Chr01,499780,4.18511791290754
Chr01,499782,4.18514581316736
Chr01,499783,4.18515976274734
Chr01,499796,4.1853410739279
Chr01,499840,4.18595428303245
Chr01,499859,4.18621885868152
Chr01,499884,4.18656678323244
Chr01,499904,4.18684495824561
Chr01,507789,4.28575740332119
Chr01,507801,4.2858925567453
Chr01,507803,4.28591507805983
Chr01,507834,4.28626400299328
Chr01,507857,4.28652269415504
Chr01,507890,4.28689357928099
Chr01,507906,4.28707328346538
Chr01,507913,4.2871518796394
Chr01,508014,4.28828425832192
Chr01,508065,4.28885488119635
Chr01,526038,4.44860410563585
Chr01,526165,4.44949385483117
Chr01,526223,4.44989933471754
Chr01,526263,4.45017866215443
Chr01,526323,4.45059717413975
Chr01,526411,4.45120995478746
Chr01,526416,4.45124473494047
Chr01,526435,4.45137686337391
Chr01,526446,4.45145333263804
Chr01,536149,4.51263300408182
Chr01,537665,4.52130841798927
Chr01,537699,4.52150102036665
Chr01,538822,4.52781863939512
Chr01,538887,4.52818181982613
Chr01,538891,4.52820416092811
Chr01,539701,4.53270877119355
Chr01,540745,4.53846225943169
Chr01,540811,4.53882418348085
Chr01,565783,4.68161216433382
Chr01,565856,4.68210644446567
Chr01,565923,4.68256079987686
Chr01,602001,5.08609157385946
Chr01,603009,5.10361798654794
Chr01,624395,5.54203080205551
Chr01,624410,5.54236809710547
Chr01,624422,5.54263794892022
Chr01,655716,6.23082983429955
Chr01,655796,6.23238698180064
Chr01,655801,6.23248424180735
Chr01,655868,6.23378682410254
Chr01,655872,6.23386454888511
Chr01,655885,6.23411712227721
Chr01,655953,6.23543747430269
Chr01,656000,6.23634928473672
Chr01,661323,6.33552888814028
Chr01,661488,6.33847591230158
Chr01,676406,6.57530020066295
Chr01,676642,6.578599874047
Chr01,676655,6.57878125276536
Chr01,677094,6.58488285743599
Chr01,685430,6.69239352658206
Chr01,685491,6.69312376166477
Chr01,698944,6.8358588186703
Chr01,698995,6.83633464580368
Chr01,699208,6.83831693161627
Chr01,700648,6.85150875395347
Chr01,702158,6.86495587085363
Chr01,703131,6.87341561172124
Chr01,705403,6.89255868049745
Chr01,705408,6.89259988168982
Chr01,705473,6.89313513136543
Chr01,705481,6.89320096131424
Chr01,705523,6.89354639988051
Chr01,705598,6.89416255016454
Chr01,705614,6.89429387878184
Chr01,705647,6.89456461445338
Chr01,705657,6.89464662111282
Chr01,705659,6.89466302052221
Chr01,718692,6.98889148662363
Chr01,725574,7.02964735027376
Chr01,744828,7.11977891376641
Chr01,747736,7.1312730315445
Chr01,789269,7.29426274758566
Chr01,789314,7.29448010514855
Chr01,811024,7.41555686926412
Chr01,811417,7.41799786064341
Chr01,811960,7.42138218070031
Chr01,815529,7.44394609027633
Chr01,815545,7.4440484344149
Chr01,815630,7.44459230759277
Chr01,815653,7.44473952236902
Chr01,815717,7.44514927328564
Chr01,823556,7.49643404127801
Chr01,826008,7.5128558375502
Chr01,826033,7.51302404059089
Chr01,826158,7.51386527663248
Chr01,826344,7.51511771222705
Chr01,850382,7.68017754369835
Chr01,850388,7.68021864627135
Chr01,851286,7.68636463055688
Chr01,851303,7.68648086704361
Chr01,851433,7.68736959053157
Chr01,854252,7.70657240213098
Chr01,854351,7.70724417128145
Chr01,863994,7.771893218796
Chr01,865236,7.78012574611424
Chr01,884609,7.907277187464
Chr01,884676,7.90771620485979
Chr01,884676,7.90771620485979
Chr01,901631,8.0199740260985
Chr01,916581,8.1232029354676
Chr01,916590,8.12326721145779
Chr01,916645,8.1236600784124
Chr01,923953,8.17702116363931
Chr01,923997,8.17735002480572
Chr01,924046,8.17771637202686
Chr01,924056,8.17779115173113
Chr01,924062,8.17783602199031
Chr01,924069,8.17788837293626
Chr01,924257,8.17929530235365
Chr01,924259,8.17931027937372
Chr01,924355,8.18002941682591
Chr01,924361,8.18007437857699
Chr01,924425,8.18055408541606
Chr01,924611,8.18194942830899
Chr01,924618,8.18200197601842
Chr01,924639,8.18215963432707
Chr01,924640,8.18216714243371
Chr01,961705,8.50857676842941
Chr01,980435,8.70633239656534
Chr01,980550,8.70753814873435
Chr01,980677,8.70886906944878
Chr01,980682,8.70892145381555
Chr01,991779,8.82129801181595
Chr01,991788,8.82138499215771
Chr01,991794,8.82144297439825
Chr01,991796,8.82146230098414
Chr01,991810,8.82159757549427
Chr01,991811,8.82160723718286
Chr01,991862,8.82209984587018
Chr01,991980,8.8232385706453
Chr01,992029,8.82371100399588
Chr01,992055,8.82396158083623
Chr01,992060,8.82400976056481
Chr01,1000535,8.90135202826254
Chr01,1000563,8.90159139636128
Chr01,1000571,8.90165976547588
Chr01,1009205,8.96921950173141
Chr01,1034088,9.0915976652476
Chr01,1034118,9.09169200002661
Chr01,1034145,9.09177681323513
Chr01,1034163,9.09183330904362
Chr01,1034523,9.09295547251928
Chr01,1034601,9.09319667027774
Chr01,1046456,9.12280517386671
Chr01,1046476,9.12284487656038
Chr01,1046567,9.12302515557182
Chr01,1046588,9.12306667284918
Chr01,1046657,9.12320286145455
Chr01,1075384,9.16322725691205
Chr01,1099044,9.20758294877104
Chr01,1099063,9.20763589431023
Chr01,1100213,9.21091003208585
Chr01,1100227,9.21095073228599
Chr01,1100279,9.21110208119865
Chr01,1100290,9.21113413299764
Chr01,1103937,9.22244287839977
Chr01,1104008,9.22267643948898
Chr01,1104020,9.22271596480775
Chr01,1104038,9.22277528000024
Chr01,1106278,9.23041051580062
Chr01,1106365,9.23071717506164
Chr01,1108852,9.23980016152408
Chr01,1108904,9.23999657457373
Chr01,1108931,9.24009866274334
Chr01,1109013,9.24040914592409
Chr01,1136050,9.37675058279988
Chr01,1150553,9.47536399827785
Chr01,1162304,9.56671702629379
Chr01,1162324,9.56688064620083
Chr01,1162643,9.56949399537018
Chr01,1184611,9.7647546571897
Chr01,1193335,9.84985446298569
Chr01,1193712,9.85361847366116
Chr01,1193747,9.85396826836838
Chr01,1193877,9.85526802645179
Chr01,1202461,9.94280130023686
Chr01,1202790,9.94621887545802
Chr01,1204112,9.95999450700692
Chr01,1204142,9.96030790391085
Chr01,1204184,9.96074671763974
Chr01,1217555,10.1034961285966
Chr01,1217609,10.1040833694267
Chr01,1217617,10.1041703743246
Chr01,1217648,10.1045075335355
Chr01,1217669,10.1047359454574
Chr01,1218151,10.1099815738477
Chr01,1218245,10.1110052518185
Chr01,1218266,10.1112339755536
Chr01,1218299,10.1115934204532
Chr01,1219716,10.1270525091274
Chr01,1219721,10.1271071417129
Chr01,1219730,10.1272054818247
Chr01,1219736,10.1272710429403
Chr01,1219812,10.1281015557356
Chr01,1219833,10.1283310630332
Chr01,1220215,10.1325076739544
Chr01,1220234,10.1327154979191
Chr01,1220530,10.1359542278201
Chr01,1220661,10.1373882112578
Chr01,1220795,10.138855428552
Chr01,1232939,10.2731792802559
Chr01,1232946,10.273257308811
Chr01,1233008,10.2739484406225
Chr01,1246407,10.4238313878168
Chr01,1282927,10.8227316996064
Chr01,1286883,10.8636890110032
Chr01,1291399,10.9096474506837
Chr01,1291420,10.9098592271698
Chr01,1291458,10.9102423976474
Chr01,1291568,10.9113512553901
Chr01,1291664,10.912318597802
Chr01,1322471,11.2082409769145
Chr01,1322633,11.2097426980862
Chr01,1322718,11.2105305027212
Chr01,1322874,11.2119761154591
Chr01,1322880,11.2120317097657
Chr01,1322913,11.2123374703009
Chr01,1328251,11.2616367536214
Chr01,1328276,11.2618669969664
Chr01,1328278,11.2618854162152
Chr01,1328385,11.2628707989815
Chr01,1354504,11.5031823207415
Chr01,1354534,11.5034609960568
Chr01,1354566,11.5037582637869
Chr01,1354567,11.5037675536376
Chr01,1354587,11.5039533536356
Chr01,1354590,11.5039812241257
Chr01,1354593,11.5040090947437
Chr01,1354594,11.5040183849782
Chr01,1354600,11.5040741266837
Chr01,1354615,11.504213483189
Chr01,1382592,11.7728042218098
Chr01,1412379,12.0918793500485
Chr01,1412403,12.0921560469766
Chr01,1412421,12.0923635935832
Chr01,1412439,12.0925711606901
Chr01,1412442,12.0926057572013
Chr01,1412584,12.094243977376
Chr01,1413330,12.1028714613375
Chr01,1413387,12.1035321270812
Chr01,1413390,12.1035669047293
Chr01,1413393,12.1036016829543
Chr01,1413462,12.1044017413913
Chr01,1435302,12.3744591709035
Chr01,1435391,12.3756343607734
Chr01,1435433,12.3761891723798
Chr01,1435439,12.3762684431011
Chr01,1435444,12.3763345043125
Chr01,1465425,12.7994911224663
Chr01,1465458,12.7999697242036
Chr01,1465476,12.8002307752124
Chr01,1465479,12.8002742834041
Chr01,1465531,12.8010284112063
Chr01,1465598,12.8020000357459
Chr01,1480887,13.0203845089264
Chr01,1480901,13.0205794792021
