CHROM	n	nSNP	p0	p1	Md_p	GENPOS	POS	pi	pf	pr1	pr2
Chr01	0	70	0	80	40.0	0.5765435060578246	141219.4714285714	22587	213697	0.8535277428608912	0.14647225713910894
Chr01	1	110	10	130	70.0	1.575220173069669	267772.9	72832	447205	0.9013358374569305	0.09866416254306956
Chr01	2	130	20	160	90.0	2.1780464691003387	328885.90769230766	107707	499859	0.9145491321515912	0.08545086784840893
Chr01	3	180	30	220	125.0	3.336655195430664	428568.1	143927	705523	0.9401373382668904	0.059862661733109626
Chr01	4	230	40	280	160.0	4.659002346686749	558159.9434782609	166360	992029	0.9560055941033891	0.0439944058966109
Chr01	5	240	50	300	175.0	5.191617569116015	614764.9666666667	167503	1100227	0.953903509163896	0.04609649083610395
Chr01	6	260	60	330	195.0	5.885841748406035	696536.0384615385	212599	1219812	0.960637141640319	0.03936285835968106
Chr01	7	280	70	360	215.0	6.5743050941836305	777305.2321428572	213720	1354567	0.9634487743802962	0.036551225619703843
Chr01	8	270	80	360	220.0	6.731416806900786	792612.7481481482	388166	1354567	0.9620950252832702	0.03790497471672992
Chr01	9	260	90	360	225.0	6.8948565355908755	808049.7923076923	392198	1354567	0.960637141640319	0.03936285835968107
Chr01	10	250	100	360	230.0	7.070970533776434	824662.336	400352	1354567	0.9590626273059316	0.04093737269406831
Chr01	11	240	110	360	235.0	7.246732350718565	841354.8916666667	445978	1354567	0.9573569034436789	0.042643096556321154
Chr01	12	260	120	390	255.0	7.975226883419989	923012.7384615385	447226	1499995	0.9589238540840571	0.041076145915942976
Chr01	13	250	130	390	260.0	8.163212092447402	941820.04	461566	1499995	0.9572808082474192	0.04271919175258069
Chr01	14	240	140	390	265.0	8.347189730151195	961249.4833333333	482719	1499995	0.9555008419243951	0.04449915807560488
Chr01	15	260	150	420	285.0	9.135060577956477	1049705.1576923076	499884	1629370	0.9610139848696756	0.03898601513032443
Chr01	16	250	160	420	290.0	9.329803472198183	1071443.04	508014	1629370	0.9594545442644626	0.04054545573553741
Chr01	17	250	170	430	300.0	9.721535103864484	1117071.496	536149	1700537	0.9599878775977959	0.04001212240220408
Chr01	18	240	180	430	305.0	9.937302173021227	1141053.0041666667	565856	1700537	0.9583207058310373	0.041679294168962586
Chr01	19	360	190	560	375.0	12.274216789629152	1430308.9222222222	655868	2110222	0.9722138038873582	0.02778619611264172
Chr01	20	350	200	560	380.0	12.441854594585234	1452111.3085714285	698995	2110222	0.9714199125698542	0.02858008743014577
Chr01	21	370	210	590	400.0	13.078496808367719	1535951.7675675675	705598	2299210	0.9716134308093215	0.028386569190678432
Chr01	22	360	220	590	405.0	13.24650778368431	1558289.2777777778	811024	2299210	0.9708249149984693	0.02917508500153061
Chr01	23	350	230	590	410.0	13.411710060701418	1579423.417142857	851433	2299210	0.9699913411412828	0.0300086588587172
Chr01	24	390	240	640	440.0	14.280118551938676	1698223.7743589743	916590	2485557	0.970689586663841	0.029310413336159063
Chr01	25	380	250	640	445.0	14.440987103361465	1718635.1	924355	2485557	0.9699182599971	0.030081740002900096
Chr01	26	370	260	640	450.0	14.605901144866756	1739643.3162162162	980682	2485557	0.9691052399970216	0.030894760002978475
Chr01	27	360	270	640	455.0	14.766879610095389	1760446.3777777778	992055	2485557	0.969172978145087	0.030827021854913057
Chr01	28	350	280	640	460.0	14.932537045181585	1781797.6942857143	1046456	2485557	0.9682922060920894	0.03170779390791058
Chr01	29	390	290	690	490.0	15.734616023918333	1897778.4051282052	1100279	2611205	0.9731112390854934	0.026888760914506645
Chr01	30	380	300	690	495.0	15.904026016135322	1918314.1921052632	1162324	2611205	0.9732808330965151	0.02671916690348489
Chr01	31	380	310	700	505.0	16.19715770110786	1956536.8815789474	1217648	2650053	0.9729618540911505	0.027038145908849495
Chr01	32	390	320	720	520.0	16.60526721917853	2011934.8948717949	1219833	2682335	0.9739400401685854	0.026059959831414608
Chr01	33	380	330	720	525.0	16.773695386735742	2032597.4763157894	1286883	2682335	0.9732542517519692	0.026745748248030783
Chr01	34	370	340	720	530.0	16.929044996558662	2052302.5756756756	1322880	2682335	0.9725313936912117	0.02746860630878837
Chr01	35	370	350	730	540.0	17.199940475233845	2090634.9513513513	1354587	2788810	0.9700334406571857	0.029966559342814232
Chr01	36	360	360	730	545.0	17.352512563768748	2110520.9944444443	1412439	2788810	0.9705899251198853	0.02941007488011463
Chr01	37	350	370	730	550.0	17.50102009889232	2130321.2514285715	1435433	2788810	0.9697496372661677	0.03025036273383219
Chr01	38	350	380	740	560.0	17.756293666993397	2169003.037142857	1500034	2842030	0.9692734467899774	0.03072655321002267
Chr01	39	340	390	740	565.0	17.887457298811082	2188613.432352941	1548678	2842030	0.9699740030032946	0.030025996996705336
Chr01	40	330	400	740	570.0	18.00862518944377	2206884.1484848484	1626829	2842030	0.9690641243064247	0.030935875693575195
Chr01	41	340	410	760	585.0	18.391126897973237	2264022.3647058825	1647190	2962757	0.9697422736563491	0.030257726343650777
Chr01	42	330	420	760	590.0	18.517785511817397	2282224.103030303	1701373	2962757	0.9694314334641173	0.030568566535882625
Chr01	43	320	430	760	595.0	18.645207357612072	2300050.040625	1719400	2962757	0.9684761657598709	0.03152383424012896
Chr01	44	310	440	760	600.0	18.770995303057727	2317467.570967742	1794625	2962757	0.9674592678811571	0.03254073211884279
Chr01	45	300	450	760	605.0	18.89731972855946	2334885.34	1795378	2962757	0.9663745768105291	0.03362542318947087
Chr01	46	290	460	760	610.0	19.029709824006357	2353192.6586206895	1847114	2962757	0.965215079459168	0.03478492054083194
Chr01	47	280	470	760	615.0	19.154302309439952	2370930.65	1871467	2962757	0.963972760868424	0.036027239131575926
Chr01	48	270	480	760	620.0	19.280123089677502	2389242.6666666665	1878821	2962757	0.9626384186783656	0.03736158132163431
Chr01	49	260	490	760	625.0	19.41317368845548	2408750.6461538463	1896827	2962757	0.9612014347813796	0.03879856521862023
Chr01	50	250	500	760	630.0	19.53508013627141	2428107.996	1944580	2962757	0.959649492172635	0.04035050782736505
Chr01	51	240	510	760	635.0	19.653009246477684	2448055.0791666666	1968936	2962757	0.9579682210131614	0.042031778986838596
Chr01	52	230	520	760	640.0	19.76157517961939	2467785.413043478	2010637	2962757	0.9561407523615597	0.04385924763844028
Chr01	53	220	530	760	645.0	19.871984152877687	2487958.077272727	2046262	2962757	0.9541471501961761	0.045852849803823925
Chr01	54	210	540	760	650.0	19.987898514764826	2508431.0142857144	2063918	2962757	0.9519636811578988	0.04803631884210125
Chr01	55	210	550	770	660.0	20.26140893061993	2552439.214285714	2110253	3050512	0.9509535796755426	0.04904642032445735
Chr01	56	200	560	770	665.0	20.374625848310448	2571737.975	2192166	3050512	0.9485012586593198	0.051498741340680214
Chr01	57	190	570	770	670.0	20.471017808611126	2588531.4631578946	2271989	3050512	0.9457907985887576	0.05420920141124233
Chr01	58	200	580	790	685.0	20.85117525070752	2656277.53	2299221	3221328	0.9482234808815421	0.05177651911845802
Chr01	59	200	590	800	695.0	21.08396787310502	2702427.23	2307702	3238351	0.9485707031037641	0.051429296896235786
Chr01	60	190	600	800	700.0	21.199382680703742	2723133.1894736844	2309462	3238351	0.9458638980039623	0.05413610199603768
Chr01	61	180	610	800	705.0	21.319582151278034	2743855.311111111	2385602	3238351	0.9428563367819601	0.05714366321803978
Chr01	62	180	620	810	715.0	21.56094546343899	2791028.7722222223	2420036	3248358	0.9440347885113757	0.055965211488624336
Chr01	63	230	630	870	750.0	22.350625123183374	2955588.143478261	2486840	3558572	0.9541841732111543	0.04581582678884566
Chr01	64	220	640	870	755.0	22.47829448662091	2976447.2818181817	2518229	3558572	0.9521016356298432	0.04789836437015683
Chr01	65	210	650	870	760.0	22.608664239493184	2998164.0476190476	2525326	3558572	0.9498207611360262	0.05017923886397383
Chr01	66	200	660	870	765.0	22.742368881538322	3021240.42	2548777	3558572	0.9473117991928275	0.05268820080717251
Chr01	67	190	670	870	770.0	22.87593239020634	3045590.3	2606521	3558572	0.94453873599245	0.055461264007550005
Chr01	68	200	680	890	785.0	23.41471983622192	3134826.755	2646017	3764657	0.9498117991928275	0.050188200807172484
Chr01	69	220	690	920	805.0	24.065210156233494	3261346.5045454544	2650065	4008021	0.9505864841146916	0.04941351588530832
Chr01	70	210	700	920	810.0	24.207170453682075	3289986.3	2672439	4008021	0.9482334595487246	0.05176654045127538
