CHROM	n	nSNP	p0	p1	Md_p	GENPOS	POS	pi	pf	pr1	pr2
Chr01	0	150	0	160	80.0	2.1938576071713087	323019.7866666667	22587	526416	0.9319425844980461	0.06805741550195393
Chr01	1	160	10	180	95.0	2.6602664144090307	369761.56875	85568	655716	0.9361961729669181	0.06380382703308181
Chr01	2	200	20	230	125.0	3.8927709220511373	479260.19	107867	916581	0.9413458260624236	0.05865417393757633
Chr01	3	190	30	230	130.0	4.07841735045169	497301.7842105263	157457	916581	0.9455155431076114	0.0544844568923885
Chr01	4	230	40	280	160.0	5.229664708436024	618366.7869565217	167488	1100227	0.9545080090405873	0.04549199095941272
Chr01	5	290	50	350	200.0	6.6580862547733775	787077.2413793104	212565	1412421	0.9650539886430446	0.03494601135695535
Chr01	6	300	60	370	215.0	7.2272263743110745	850585.32	213720	1500102	0.9666228957617382	0.033377104238261686
Chr01	7	290	70	370	220.0	7.3958422692349375	867333.0551724138	388261	1500102	0.9654719611328326	0.03452803886716726
Chr01	8	280	80	370	225.0	7.571242630042675	884321.6357142857	392212	1500102	0.9642388168875767	0.03576118311242323
Chr01	9	270	90	370	230.0	7.759135141073466	902498.3037037037	400374	1500102	0.9629143286241536	0.03708567137584631
Chr01	10	260	100	370	235.0	7.94959404940972	921017.0576923077	445970	1500102	0.9614879566481597	0.03851204335184041
Chr01	11	260	110	380	245.0	8.347230373745418	962464.6884615384	450551	1570935	0.960672105450872	0.03932789454912803
Chr01	12	250	120	380	250.0	8.538544271832011	982292.8	478496	1570935	0.9590989896689068	0.04090101033109315
Chr01	13	390	130	530	330.0	11.391766708469724	1327141.9974358974	499783	2064107	0.9736674432122623	0.026332556787737715
Chr01	14	410	140	560	350.0	12.057409747520303	1409850.175609756	507890	2283839	0.9756023643888999	0.024397635611100043
Chr01	15	410	150	570	360.0	12.409007452887977	1453158.7975609757	526435	2299226	0.9739763481287372	0.026023651871262644
Chr01	16	400	160	570	365.0	12.606448518487118	1476084.1675	540811	2299226	0.9733257568319558	0.02667424316804421
Chr01	17	390	170	570	370.0	12.797299301435645	1498618.8230769231	655796	2299226	0.9734965027336299	0.02650349726637014
Chr01	18	380	180	570	375.0	12.967059383730009	1520611.3210526316	698944	2299226	0.9727990422792517	0.0272009577207483
Chr01	19	380	190	580	385.0	13.282949429147294	1562798.055263158	705523	2308630	0.9733472878932867	0.026652712106713206
Chr01	20	370	200	580	390.0	13.453028918409558	1585483.8864864865	789314	2308630	0.972626944322835	0.027373055677164908
Chr01	21	360	210	580	395.0	13.619991823716	1606889.2333333334	826344	2308630	0.9718665816651361	0.028133418334863936
Chr01	22	440	220	670	445.0	14.998546298838848	1802818.7659090909	916590	2649939	0.9771080112613739	0.022891988738626044
Chr01	23	430	230	670	450.0	15.157416826768292	1823289.123255814	924355	2649939	0.9765756394302431	0.023424360569756882
Chr01	24	420	240	670	455.0	15.319756094842168	1844288.1238095239	980682	2649939	0.9760179165595345	0.02398208344046538
Chr01	25	420	250	680	465.0	15.61111641107616	1883844.392857143	992055	2658730	0.9752242657658838	0.02477573423411617
Chr01	26	410	260	680	470.0	15.773122436173665	1905080.8341463415	1046456	2658730	0.9746199795650518	0.025380020434948275
Chr01	27	430	270	710	490.0	16.31421559613599	1982020.9	1100279	2823286	0.9758474266128513	0.02415257338714864
Chr01	28	420	280	710	495.0	16.48129129319464	2002606.6714285715	1162324	2823286	0.9760660161353796	0.023933983864620437
Chr01	29	430	290	730	510.0	16.919785144586637	2063240.4953488372	1217648	3017309	0.9748890049586775	0.02511099504132256
Chr01	30	420	300	730	515.0	17.08172036353739	2083343.0690476191	1219833	3017309	0.9742911241243603	0.02570887587563977
Chr01	31	410	310	730	520.0	17.24944532723332	2104235.4170731707	1286883	3017309	0.9736640783712959	0.026335921628704156
Chr01	32	400	320	730	525.0	17.40503746483196	2124253.5825	1322880	3017309	0.9730056803305783	0.02699431966942176
Chr01	33	390	330	730	530.0	17.560328686289	2144421.228205128	1354587	3017309	0.9740229199971742	0.025977080002825732
Chr01	34	410	340	760	550.0	18.13176419214835	2234710.4975609756	1412439	3222262	0.971573486634113	0.028426513365887
Chr01	35	400	350	760	555.0	18.27942645822824	2255008.3575	1465458	3222262	0.9708628237999658	0.029137176200034177
Chr01	36	390	360	760	560.0	18.41387420768484	2274809.0384615385	1500560	3222262	0.9715143183708063	0.028485681629193734
Chr01	37	380	370	760	565.0	18.543580199822415	2294569.244736842	1594646	3222262	0.9722001021295857	0.027799897870414314
Chr01	38	370	380	760	570.0	18.665920147007295	2312943.1	1627075	3222262	0.9723496544393943	0.027650345560605694
Chr01	39	370	390	770	580.0	18.92053979378863	2356317.635135135	1647285	3248097	0.9700330527846782	0.029966947215321817
Chr01	40	360	400	770	585.0	19.048344144543382	2374908.9055555556	1711396	3248097	0.9697561931398081	0.030243806860191874
Chr01	41	350	410	770	590.0	19.1792082164121	2393705.9057142856	1783245	3248097	0.9688920843723741	0.031107915627625927
Chr01	42	340	420	770	595.0	19.303744542244033	2411456.0176470587	1795011	3248097	0.9679771456774439	0.0320228543225561
Chr01	43	330	430	770	600.0	19.43446205262398	2430104.8484848486	1800439	3248097	0.967006756152518	0.032993243847482034
Chr01	44	320	440	770	605.0	19.565067367928187	2448989.61875	1857109	3248097	0.9659757172822842	0.03402428271771585
Chr01	45	310	450	770	610.0	19.692628659492573	2467889.1193548385	1878482	3248097	0.964878159775261	0.03512184022473893
Chr01	46	300	460	770	615.0	19.8229781279097	2487527.77	1879029	3248097	0.9637074317677697	0.03629256823223023
Chr01	47	290	470	770	620.0	19.95641952647459	2508039.4931034483	1923178	3248097	0.9624559638976928	0.03754403610230713
Chr01	48	280	480	770	625.0	20.080189295857828	2528544.6107142856	1944856	3248097	0.9611151054654676	0.038884894534532394
Chr01	49	270	490	770	630.0	20.20192943574329	2549744.4111111113	1970221	3248097	0.9596749241864109	0.04032507581358915
Chr01	50	260	500	770	635.0	20.316567596035693	2570777.15	2014887	3248097	0.9581239597320421	0.04187604026795797
Chr01	51	250	510	770	640.0	20.434988383148802	2592380.612	2055012	3248097	0.9564489181213237	0.04355108187867629
Chr01	52	240	520	770	645.0	20.55951241825103	2614497.470833333	2064125	3248097	0.9560231785986011	0.043976821401398906
Chr01	53	230	530	770	650.0	20.69022081616364	2637019.6869565216	2173362	3248097	0.9541111428854968	0.045888857114503204
Chr01	54	220	540	770	655.0	20.806497908332485	2657542.981818182	2218819	3248097	0.9520252857439285	0.04797471425607153
Chr01	55	210	550	770	660.0	20.910354322396284	2676133.1142857145	2283853	3248097	0.9513280771285599	0.048671922871440024
Chr01	56	260	560	830	695.0	21.715580474732388	2846280.9884615387	2301070	3538329	0.9598333614414437	0.04016663855855626
Chr01	57	270	570	850	710.0	22.20888264763507	2927508.9703703704	2309079	3736605	0.9617839776843533	0.03821602231564676
Chr01	58	260	580	850	715.0	22.33643323090731	2951287.1653846153	2335057	3736605	0.9603141306722129	0.03968586932778703
Chr01	59	250	590	850	720.0	22.466515919129908	2974724.056	2385653	3736605	0.9587266958991015	0.04127330410089852
Chr01	60	240	600	850	725.0	22.602305073677886	2998369.129166667	2454501	3736605	0.9570069748948974	0.042993025105102625
Chr01	61	270	610	890	750.0	23.434100924808096	3152566.711111111	2486943	4059880	0.9605494097831188	0.039450590216881354
Chr01	62	260	620	890	755.0	23.58012970472739	3177312.6576923076	2518386	4059880	0.9590320793901617	0.040967920609838324
Chr01	63	250	630	890	760.0	23.732447211097888	3203475.476	2525672	4059880	0.9573933625657681	0.042606637434231855
Chr01	64	240	640	890	765.0	23.88587651358007	3230869.495833333	2548886	4059880	0.9556180860060085	0.044381913993991516
Chr01	65	230	650	890	770.0	24.03468708915496	3259095.039130435	2606567	4059880	0.9536884375714871	0.04631156242851288
Chr01	66	230	660	900	780.0	24.33142213242936	3321780.395652174	2649940	4068504	0.946804378785255	0.05319562121474496
Chr01	67	220	670	900	785.0	24.480677243973258	3352220.577272727	2658741	4068504	0.9474166990330696	0.052583300966930334
Chr01	68	210	680	900	790.0	24.640980801872864	3384842.0714285714	2677095	4068504	0.9449127323203587	0.055087267679641304
Chr01	69	200	690	900	795.0	24.810327229443228	3418422.985	2788877	4068504	0.9448856421595172	0.0551143578404828
Chr01	70	200	700	910	805.0	25.119842836910557	3483925.565	2823399	4174827	0.948446248715991	0.051553751284008874
Chr01	71	190	710	910	810.0	25.275591883992373	3516935.8210526314	2901973	4174827	0.9467855249642012	0.05321447503579882
Chr01	72	190	720	920	820.0	25.526129030128793	3581630.7736842106	3017336	4193773	0.9467855249642012	0.05321447503579881
Chr01	73	180	730	920	825.0	25.64816833285694	3611489.011111111	3066243	4193773	0.9438291652399902	0.056170834760009856
Chr01	74	180	740	930	835.0	25.91831026550235	3679783.1333333333	3200645	4423085	0.9425945973387556	0.05740540266124442
Chr01	75	190	750	950	850.0	26.399520248140686	3802415.3157894737	3222315	4722540	0.9428704323961027	0.057129567603897244
Chr01	76	190	760	960	860.0	26.767272075348018	3884001.168421053	3248120	4818883	0.94716241056362	0.052837589436380006
Chr01	77	180	770	960	865.0	26.94733026059954	3918678.0888888887	3286721	4818883	0.9442269889282656	0.05577301107173445
Chr01	78	170	780	960	870.0	27.14464211530128	3955002.7	3319861	4818883	0.9409462235711048	0.059053776428895303
Chr01	79	170	790	970	880.0	27.56117913277958	4045218.011764706	3333794	4924957	0.9315879336343033	0.06841206636569667
Chr01	80	160	800	970	885.0	27.790427054018817	4088478.06875	3370913	4924957	0.9273121794864473	0.0726878205135527
Chr01	81	150	810	970	890.0	28.024537991575606	4134918.5866666664	3402464	4924957	0.924688547007766	0.07531145299223402
Chr01	82	140	820	970	895.0	28.218259047999627	4182466.442857143	3553734	4924957	0.9232774114765746	0.07672258852342533
Chr01	83	130	830	970	900.0	28.339268882724628	4226128.492307693	3723813	4924957	0.9173756738978497	0.08262432610215037
Chr01	84	120	840	970	905.0	28.429156439523727	4267459.408333333	3736608	4924957	0.9146569800560037	0.0853430199439962
Chr01	85	110	850	970	910.0	28.52994024635414	4313304.672727273	3797580	4924957	0.9068985236974587	0.09310147630254131
Chr01	86	100	860	970	915.0	28.64787674664819	4361593.82	3922542	4924957	0.8975883760672047	0.10241162393279545
Chr01	87	100	870	980	925.0	29.011817869934838	4456445.17	4006304	4999731	0.8971338296209234	0.10286617037907664
Chr01	88	100	880	990	935.0	29.374965062716225	4556395.34	4059906	5335994	0.8928914033950276	0.10710859660497232
Chr01	89	150	890	1050	970.0	30.54910903799275	4968947.84	4084569	5683624	0.9277212543070029	0.07227874569299711
Chr01	90	140	900	1050	975.0	30.745707306278394	5029664.785714285	4175248	5683624	0.9249394391384556	0.07506056086154451
Chr01	91	140	910	1060	985.0	31.090966464120143	5141976.928571428	4193806	5762254	0.9219702110796301	0.07802978892036995
Chr01	92	130	920	1060	990.0	31.30755123127676	5204196.161538461	4440719	5762254	0.9202280224466987	0.07977197755330129
Chr01	93	150	930	1090	1010.0	31.795500175582287	5372857.88	4623526	5927828	0.9280128676463076	0.0719871323536923
Chr01	94	190	940	1140	1040.0	32.31632693265882	5613981.6736842105	4722701	6425577	0.9467755764336853	0.053224423566314766
Chr01	95	210	950	1170	1060.0	32.64464731064761	5785474.923809524	4818952	6607050	0.9463721280421287	0.053627871957871304
Chr01	96	700	960	1670	1315.0	35.54324885717755	8475473.06	4924988	13355983	0.9839336178896826	0.016066382110317426
Chr01	97	690	970	1670	1320.0	35.60803938733122	8526622.631884057	4999757	13355983	0.9844937209806941	0.01550627901930586
Chr01	98	720	980	1710	1345.0	35.868335608649026	8856863.590277778	5336081	13843187	0.9856179852377868	0.014382014762213307
Chr01	99	710	990	1710	1350.0	35.92983770380357	8906377.456338027	5363331	13843187	0.985414562115266	0.014585437884734005
Chr01	100	700	1000	1710	1355.0	35.98954932471553	8955863.028571429	5476397	13843187	0.9852053018873645	0.014794698112635497
