CHROM	n	nSNP	p0	p1	Md_p	GENPOS	POS	pi	pf	pr1	pr2
Chr01	0	200	0	210	105.0	2.6473041698976987	360301.715	22587	699208	0.948682801827663	0.051317198172337014
Chr01	1	200	10	220	115.0	2.9907535864944337	392452.555	72832	705614	0.948682801827663	0.05131719817233702
Chr01	2	190	20	220	120.0	3.1434765505250546	408530.01578947366	107673	705614	0.945967606157169	0.054032393842831046
Chr01	3	250	30	290	160.0	4.67692928328334	562184.0	143797	1046657	0.9578718897025195	0.042128110297480544
Chr01	4	310	40	360	200.0	6.086452805686584	726757.6225806451	166309	1354600	0.9649733566426991	0.035026643357300935
Chr01	5	320	50	380	215.0	6.6368649379044085	787542.80625	167459	1465458	0.9677398975081063	0.03226010249189372
Chr01	6	310	60	380	220.0	6.828255091435877	807525.3806451613	173008	1465458	0.9666992490406259	0.033300750959374154
Chr01	7	310	70	390	230.0	7.203475327039301	848726.0967741936	213632	1500560	0.9642554556344229	0.03574454436557707
Chr01	8	300	80	390	235.0	7.375018324417688	866613.1866666666	383589	1500560	0.9641750819333481	0.03582491806665187
Chr01	9	290	90	390	240.0	7.544108429726912	883062.0896551724	392123	1500560	0.9629397399310498	0.0370602600689502
Chr01	10	280	100	390	245.0	7.7246472454944195	900589.0071428572	393503	1500560	0.9616161592143015	0.03838384078569842
Chr01	11	270	110	390	250.0	7.916089442257251	919101.3555555556	445899	1500560	0.9601945354814979	0.039805464518502066
Chr01	12	260	120	390	255.0	8.099728533250307	937297.073076923	446236	1500560	0.9599456073589916	0.04005439264100855
Chr01	13	410	130	550	340.0	11.123334507474256	1297266.8780487804	452011	2064125	0.9753313616788729	0.02466863832112714
Chr01	14	400	140	550	345.0	11.311368923632426	1317982.3725	483220	2064125	0.9747146457208448	0.025285354279155327
Chr01	15	390	150	550	350.0	11.49453967999953	1338982.8512820513	507801	2064125	0.9740663033034305	0.025933696696569565
Chr01	16	410	160	580	370.0	12.156642453377378	1421505.7512195122	526165	2283853	0.9745183535487915	0.025481646451208446
Chr01	17	400	170	580	375.0	12.348960026377677	1443832.155	537699	2283853	0.9738813123875113	0.026118687612488655
Chr01	18	390	180	580	380.0	12.548261616122494	1466819.8564102564	602001	2283853	0.9732116024487295	0.026788397551270417
Chr01	19	380	190	580	385.0	12.725899819601024	1488690.6684210526	655885	2283853	0.9733838376008892	0.026616162399110865
Chr01	20	380	200	590	395.0	13.049180500352087	1531334.0526315789	700648	2301070	0.9729452411096611	0.027054758890338933
Chr01	21	400	210	620	415.0	13.646544068225344	1611873.255	705647	2385653	0.9737676757759411	0.026232324224058946
